n,beta,eta,gamma,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,optimal_delta,best_relative_mse
5,2.0,1000.0,1000,1567.099832706075,1650.2223086974489,2423.879545502473,2657.2261509160917,2663.1080048410086,,,,,,,,,,,0.111,0.070193866293615
5,2.0,1000.0,1000,1177.0797459956007,1507.906113488835,1588.1543985396638,2230.2632426127484,2312.4170675123046,,,,,,,,,,,0.071,0.04511315360363979
5,2.0,1000.0,1000,1392.2566286057088,1662.4945357397437,1844.7463492063757,1879.5898676652637,2415.240042905844,,,,,,,,,,,0.011,0.01152550175268247
5,2.0,1000.0,1000,1412.1642215303425,1919.7837959945055,2276.2349181099225,2297.56886255343,2528.2839180820024,,,,,,,,,,,0.321,0.028551023077133843
5,2.0,1000.0,1000,1269.5726101805221,1860.7376141736272,2029.2870370546211,2888.0093546845574,3511.9912549857017,,,,,,,,,,,1.001,0.3604776821144476
5,2.0,1000.0,1000,1328.4746068197678,2100.100568152726,2121.3697736840577,2187.598051245102,2473.7244682844716,,,,,,,,,,,0.201,0.3220792296677871
5,2.0,1000.0,1000,1400.6687124349944,1990.97662121606,2046.2930655945981,2097.3693512214195,2243.775725222183,,,,,,,,,,,0.191,0.28712830455140964
5,2.0,1000.0,1000,1770.0778583254137,2144.291140520958,2281.7603421091426,2598.050457511508,3017.6963062165437,,,,,,,,,,,0.081,0.14517328510058794
5,2.0,1000.0,1000,1438.0826316530706,1768.9316808814424,1826.900402242141,2022.7679892428268,2421.1330369705656,,,,,,,,,,,0.091,0.021265762867245866
5,2.0,1000.0,1000,1414.3253932618613,1879.3117067119265,1907.9858864311286,2109.7666303640353,2715.4825993027416,,,,,,,,,,,0.161,0.011154913628587258
5,2.0,1000.0,1000,1160.0921370398266,1439.0290409609497,1735.372157722244,2294.0344051118664,2541.7929573799365,,,,,,,,,,,0.051,0.10741036652615847
5,2.0,1000.0,1000,1353.7671181168919,1392.2473461426198,1678.2603189669758,2046.5758310427975,2095.528263798873,,,,,,,,,,,0.011,0.045461793688116044
5,2.0,1000.0,1000,1266.9368483478895,1618.097688040199,1724.9443999069044,1802.894457333407,2362.253963867952,,,,,,,,,,,0.101,0.007491921079567643
5,2.0,1000.0,1000,1320.9454371308718,1843.2039192874727,1862.4734163082514,2107.654921330022,2110.429633930787,,,,,,,,,,,0.271,0.07954715622889366
5,2.0,1000.0,1000,1057.2875481817255,1264.9853366488999,2076.573039755979,2184.477405925695,2494.5231887579066,,,,,,,,,,,0.311,0.18086390490542725
5,2.0,1000.0,1000,1178.177070802686,1577.0049472596843,1827.6567666785486,1957.9666216367525,2411.208448018143,,,,,,,,,,,0.311,0.03250058752331213
5,2.0,1000.0,1000,1412.3925645426755,1590.2653839681736,2161.9688352167054,2211.508410371844,2226.5021368641,,,,,,,,,,,0.111,0.0036937912555126524
5,2.0,1000.0,1000,1596.863894773864,1916.6857443432443,2045.129279211645,2212.2505499831595,2299.0830377503335,,,,,,,,,,,0.151,0.1397537920555522
5,2.0,1000.0,1000,1081.5637637058944,1451.0890027538526,1474.9327532908846,1607.7225225104085,1963.1206176967762,,,,,,,,,,,0.221,0.077301469444038
5,2.0,1000.0,1000,1148.177173879954,1558.2809036392387,1941.828476740383,2677.366148984695,3550.475762149958,,,,,,,,,,,1.001,0.39839078403855555
5,2.0,1000.0,1000,1290.0667149574565,1628.5152975460794,1866.0155003544537,2089.514851149569,2115.510927579344,,,,,,,,,,,0.191,0.0030399532701717194
5,2.0,1000.0,1000,1627.2652241854325,1771.7867816543107,2019.150542986632,2072.538353110219,2152.3100025913827,,,,,,,,,,,0.071,0.27265864826417796
5,2.0,1000.0,1000,1571.0487058251642,2350.505948873227,2472.4925418205335,2728.3005882486614,2980.8767994194695,,,,,,,,,,,0.401,0.16153088301253787
5,2.0,1000.0,1000,1244.7805560511956,1959.1607932959807,1972.964185910755,2199.0452207633443,2259.0473247662635,,,,,,,,,,,0.211,0.2433832706809379
5,2.0,1000.0,1000,1777.1861997363865,1866.3419554828836,2059.826368160534,2153.025584235701,2154.0126803780304,,,,,,,,,,,0.041,0.5836851326207296
5,2.0,1000.0,1000,1197.9157945182997,1752.5957626640202,1848.156787245151,2024.0611601283968,2464.752536087874,,,,,,,,,,,0.421,0.008996347501600395
5,2.0,1000.0,1000,1305.5536999398746,1832.626807782286,1892.064506125237,2296.3574272983624,2754.411050835085,,,,,,,,,,,0.371,0.051048287647666245
5,2.0,1000.0,1000,1228.4175616782452,1454.5762148227961,1990.2184120435936,2012.0287975945498,2078.1570940478387,,,,,,,,,,,0.151,0.00925807475404964
5,2.0,1000.0,1000,1326.9852664710033,1345.8150554099025,1526.3647300499306,1879.941868271033,1910.5282148424897,,,,,,,,,,,0.011,0.5594833797692754
5,2.0,1000.0,1000,1350.3983411510599,1581.5219104379476,1900.6820578300221,2314.82525130669,2335.2222426662065,,,,,,,,,,,0.041,0.009227438573662617
5,2.0,1000.0,1000,1461.9461501530627,1517.6035551905547,1823.0458982865957,2019.8401889044103,2068.5868371525285,,,,,,,,,,,0.031,0.11113006039392175
5,2.0,1000.0,1000,1483.9384864750532,1746.0437377845021,1952.5315424346823,2042.9022789701753,2244.356015930268,,,,,,,,,,,0.141,0.06738562224292927
5,2.0,1000.0,1000,1242.3885296549747,1656.5614780478977,1864.7875931084918,1957.337651794909,2419.5554180604186,,,,,,,,,,,0.271,0.00909294762093875
5,2.0,1000.0,1000,1375.0143157853067,1717.5965433847305,1842.6362141263148,2053.505813407215,2580.8376073851814,,,,,,,,,,,0.071,0.0025203721597704676
5,2.0,1000.0,1000,1464.3416057840543,1743.7985169280507,1799.408589783378,1876.0171542210105,2022.1184424183252,,,,,,,,,,,0.181,0.2622329618686348
5,2.0,1000.0,1000,1660.9219636691464,1964.6218234681915,2292.6076276482213,2513.6077732347358,2768.1051866715325,,,,,,,,,,,0.131,0.08309336770784267
5,2.0,1000.0,1000,1533.293206216581,1993.9449362878174,2056.2780445228127,2111.9464139170796,2749.3570387484956,,,,,,,,,,,0.131,0.03766012830279734
5,2.0,1000.0,1000,1500.4796385022314,1918.6555961817357,1923.2796641652312,2236.3586927458355,2387.749461973027,,,,,,,,,,,0.181,0.04995079184160155
5,2.0,1000.0,1000,1118.7513260101434,1359.140916075939,1949.9167767945878,1978.0924304870239,2333.109916032363,,,,,,,,,,,0.201,0.07636356472556795
5,2.0,1000.0,1000,1437.5868146574362,1975.7489234925783,2013.482278193611,2423.4813483662256,2751.6748720887626,,,,,,,,,,,0.301,0.0446975939374855
5,2.0,1000.0,1000,1205.6597019313658,1370.5841793946245,2203.865191189397,2241.06788824848,2414.9441356781767,,,,,,,,,,,0.221,0.07947595730386803
5,2.0,1000.0,1000,1083.958549031029,1544.6328574963782,1583.5377337145787,1597.905233772809,2387.0802558564205,,,,,,,,,,,0.201,0.041301003051400664
5,2.0,1000.0,1000,1169.6991754634048,1677.4273412379084,1773.0601647054418,1843.8931795422848,3083.208167510087,,,,,,,,,,,0.221,0.10017185017016306
5,2.0,1000.0,1000,1568.5410983099086,1775.0577646825295,2083.926477154166,2239.62647029469,2412.767819740294,,,,,,,,,,,0.071,0.04714108877553398
5,2.0,1000.0,1000,1333.8212330087267,1555.3143106646767,1559.43204845637,1838.2376854277836,2033.5678603648048,,,,,,,,,,,0.031,0.10384655114742447
5,2.0,1000.0,1000,1219.388439894336,1618.1164989701726,1620.072296961588,1798.7465834596978,2197.921610579703,,,,,,,,,,,0.191,0.02480338603287388
5,2.0,1000.0,1000,1086.4942824476109,1663.9335936063421,1990.252331255338,2086.56841938998,2271.1327597139275,,,,,,,,,,,0.451,0.03742671342541644
5,2.0,1000.0,1000,1504.6695940590657,1779.1662555660803,2257.2083868071963,2681.498890878086,3142.215810681971,,,,,,,,,,,0.051,0.1825861614181754
5,2.0,1000.0,1000,1290.6831830415545,1291.3942536194263,1842.337689842464,1898.7490576415566,2084.331135193705,,,,,,,,,,,0.091,0.03366772429555055
5,2.0,1000.0,1000,1162.6186139994722,1503.164323575064,1673.1640707855313,2151.0355208251776,2710.2625294983536,,,,,,,,,,,0.071,0.09997512473682484
5,2.0,1000.0,1000,1330.9718754173855,2107.51751169067,2384.404279567198,2827.577975785586,3032.560186489879,,,,,,,,,,,0.701,0.08638616619934979
5,2.0,1000.0,1000,1293.7953648798907,1388.1518476500553,1967.7747289703152,2091.8207546636872,2324.5046623974004,,,,,,,,,,,0.091,0.00881952929893897
5,2.0,1000.0,1000,1577.2598034393677,1693.6767354047956,1992.9097034447523,2256.2076242699436,2257.733598637058,,,,,,,,,,,0.021,0.0830439903034407
5,2.0,1000.0,1000,1139.425758997824,1663.1726039888038,1996.2741499644108,2056.0522209503015,2619.971388177525,,,,,,,,,,,0.891,0.06848770369507044
5,2.0,1000.0,1000,1104.2226541166442,2133.8680330904235,2328.8499854163983,2350.5406138223357,2511.697332680373,,,,,,,,,,,0.251,0.7363934823042503
5,2.0,1000.0,1000,1454.2439897440959,1928.6757564764428,2029.4523553574563,2117.9517366785085,2414.802761993218,,,,,,,,,,,0.241,0.043392203964425946
5,2.0,1000.0,1000,1488.220987520408,2195.896999771576,2403.7514502503577,2579.4105055846576,2726.9819264124353,,,,,,,,,,,0.351,0.09986140931029781
5,2.0,1000.0,1000,1228.334827327842,1483.1651985226006,1750.8227506513463,1847.6466440337053,1989.2059579594156,,,,,,,,,,,0.161,0.03109339859240646
5,2.0,1000.0,1000,1357.308369635391,1572.9137657186598,2045.5014668599301,2218.6930725346065,2432.0159705531687,,,,,,,,,,,0.101,0.01333603063850614
5,2.0,1000.0,1000,1407.1664562435662,1634.997980976049,1840.5683035204192,1971.180819016718,2113.8153398470095,,,,,,,,,,,0.121,0.061538839155115016
5,2.0,1000.0,1000,1006.6053305093185,1311.3559485142662,1684.0759123159996,1881.573695822698,2091.8162212783245,,,,,,,,,,,0.271,0.10354965053722237
5,2.0,1000.0,1000,1437.5379459133333,1757.7357625839345,1947.102204128731,2064.5200930423753,2082.8100302831535,,,,,,,,,,,0.171,0.08681128443368813
5,2.0,1000.0,1000,1323.7443543413297,1434.5830312942508,1733.994497638273,1844.756877464636,1930.8257187717686,,,,,,,,,,,0.051,0.09281261093768196
5,2.0,1000.0,1000,1201.0371801744593,1712.9278828311658,1745.893960433737,2040.8751566666685,2090.2450582233523,,,,,,,,,,,0.321,0.01651823498140628
5,2.0,1000.0,1000,1592.007225130099,2097.7892390480083,2113.6383043585593,2329.1801292931736,2493.9038353531514,,,,,,,,,,,0.221,0.12270004631248878
5,2.0,1000.0,1000,1638.0084639768288,1703.3035704438373,1910.528872334492,1961.7748247456839,1975.1055994210553,,,,,,,,,,,0.051,0.5353040956676691
5,2.0,1000.0,1000,1417.6792308840597,2260.0327336392857,2401.4161485517725,2633.654925192127,2641.9014618235306,,,,,,,,,,,0.221,0.36496212068143463
5,2.0,1000.0,1000,1636.7664765598433,1777.5785442970125,1878.4589782252028,1980.0749441021567,2156.692450376284,,,,,,,,,,,0.021,0.3756438545698796
5,2.0,1000.0,1000,1700.2654902378895,1920.2083409216687,2749.820092810151,2783.255176965804,3135.5170283631137,,,,,,,,,,,0.141,0.23622565370673865
5,2.0,1000.0,1000,1219.5599196360977,1420.6299696077167,1830.1946263246875,2031.360120152977,2284.617923526184,,,,,,,,,,,0.091,0.02422072234786864
5,2.0,1000.0,1000,1502.5948828270084,1846.431661313342,1891.2029164818955,1891.8200764053176,2039.2943965626057,,,,,,,,,,,0.201,0.4556649267661031
5,2.0,1000.0,1000,1280.2626086872224,1479.8893410331768,1753.3456725399446,1756.5366944103976,2095.9523160665176,,,,,,,,,,,0.071,0.04110174707296861
5,2.0,1000.0,1000,1207.0646922923838,1830.9948171161661,1926.1808518120133,2482.485262705499,2777.6409158746574,,,,,,,,,,,0.891,0.06793975288222336
5,2.0,1000.0,1000,1130.8038062116211,1508.9239889508685,1515.2980261040823,1675.3907548009727,1866.0105298603635,,,,,,,,,,,0.251,0.10470818448318367
5,2.0,1000.0,1000,1524.2100335020261,1559.2485268605128,1905.4078085894812,2037.267169946387,2040.9059971455547,,,,,,,,,,,0.051,0.1884433397643393
5,2.0,1000.0,1000,1071.2814034487938,1589.994576553627,1705.5264440925534,1777.829454238719,2252.3722546631784,,,,,,,,,,,0.421,0.02857441641340839
5,2.0,1000.0,1000,1126.1158797024375,1193.5218257482147,1841.6082900927759,2693.22911189994,2724.79061747531,,,,,,,,,,,0.081,0.20783211595794826
5,2.0,1000.0,1000,1376.522389628754,1401.2065059988784,1535.7522309044837,1628.2738946387594,1651.993110183102,,,,,,,,,,,0.031,0.5227990994668604
5,2.0,1000.0,1000,1430.1496416220125,1635.693678977544,2238.095448205706,2302.712976723578,2400.392865942243,,,,,,,,,,,0.121,0.014097504232705758
5,2.0,1000.0,1000,1112.8436434651253,1585.8377962992831,1727.3610083020465,1894.4726754772591,2061.8755594325144,,,,,,,,,,,0.371,0.02192680095583372
5,2.0,1000.0,1000,1233.1321982368904,1682.2062424874225,1785.8034083443617,1829.9742651542324,2377.998767680857,,,,,,,,,,,0.231,0.004495530397982454
5,2.0,1000.0,1000,1205.2195370630936,1368.639067734971,1495.4403421780812,1513.9038935281706,1731.3769684792233,,,,,,,,,,,0.091,0.23061413047653775
5,2.0,1000.0,1000,1100.7608306729412,1435.8999004680713,1484.1010849079162,1781.7648649125,2344.0309786178486,,,,,,,,,,,0.051,0.05535857044434023
5,2.0,1000.0,1000,1130.34136922634,1519.9052661327257,1803.2668783024496,2242.942329795669,2367.4836897753685,,,,,,,,,,,0.321,0.09121419854702839
5,2.0,1000.0,1000,1539.118301482757,2200.5218104673686,2693.840520424815,2846.5705165453137,2957.233246777116,,,,,,,,,,,0.651,0.19628359145365773
5,2.0,1000.0,1000,1415.9450101016535,1684.3399139594267,1923.6508356010668,1932.5641238272515,2133.092491541055,,,,,,,,,,,0.151,0.07255130617057201
5,2.0,1000.0,1000,1425.514483726032,2006.8984218066546,2391.621313487594,2418.0786629296513,2645.735631547999,,,,,,,,,,,0.411,0.05603063003030706
5,2.0,1000.0,1000,1508.4209489094928,1589.9290203311543,2179.439196997254,2215.5983159118396,2383.2242495476994,,,,,,,,,,,0.091,0.019554058860335972
5,2.0,1000.0,1000,1368.2136289748203,1825.8118572233755,2024.6052893084063,2332.899612468629,3152.512518748061,,,,,,,,,,,0.261,0.13269236618506172
5,2.0,1000.0,1000,1058.2423724086834,1694.068220129329,2202.4971920998423,2393.5171669544407,2671.98299362551,,,,,,,,,,,0.711,0.0010750704579447618
5,2.0,1000.0,1000,1149.454209408567,1635.9814801626285,2019.1982365336514,2042.1910597133733,2616.881225867917,,,,,,,,,,,0.541,0.0794668252949225
5,2.0,1000.0,1000,1456.8494518471514,1645.417305126406,1899.3632672857402,2259.1852058840022,2333.506208115582,,,,,,,,,,,0.011,0.007859210742182975
5,2.0,1000.0,1000,1292.989296517003,1441.9038311081488,2022.6254618501816,2328.511533410441,2456.076165055484,,,,,,,,,,,0.091,0.04559647874676325
5,2.0,1000.0,1000,1410.452174509273,1656.1004415207615,1968.2930233836191,1997.9549446703777,2032.1914697553336,,,,,,,,,,,0.131,0.07421892700287257
5,2.0,1000.0,1000,1356.5224046854503,1560.0241700391973,2150.409088566911,2206.6968135766656,2496.9276703308315,,,,,,,,,,,0.131,0.023054899993601823
5,2.0,1000.0,1000,1232.3985943840794,1824.7398383546915,1951.558322735862,2057.6091668288036,2152.240531491082,,,,,,,,,,,0.251,0.09284548604908233
5,2.0,1000.0,1000,1106.4875736848742,1485.5094168016228,1510.3663766858783,2070.7194236244973,2166.327252601629,,,,,,,,,,,0.171,0.04784837738749999
5,2.0,1000.0,1000,1360.499089913067,1554.6338502939402,2452.1216228090743,2496.6737681295945,3338.825373626348,,,,,,,,,,,0.231,0.2558353435919352
5,2.0,1000.0,1000,1188.1901398446066,1634.3811393845517,1903.4377714740904,2042.6187510147663,2549.329879598576,,,,,,,,,,,0.391,0.05131151977128215
5,2.0,1000.0,1000,1213.9416542457186,1607.5796740265719,1665.687574123961,2075.97041414247,2268.71348289303,,,,,,,,,,,0.211,0.012236499626662465
5,2.0,1000.0,1000,1311.3029521887893,1535.0141566705393,1705.6389243710987,1889.060751196892,1956.4413662680786,,,,,,,,,,,0.121,0.07030473917472364
5,2.0,1000.0,1000,1454.4971479049527,1614.0160479470887,1977.815777580908,2110.378312878296,2262.5514923593237,,,,,,,,,,,0.061,0.021945065271416885
5,2.0,1000.0,1000,1255.6621807602328,1610.7533740378626,1889.4263504742962,2102.7292435488835,2282.023472748865,,,,,,,,,,,0.241,0.009769507343607913
5,2.0,1000.0,1000,1324.5206564191035,1884.016782410043,2067.8078880508274,2447.9475777550138,2581.00841156743,,,,,,,,,,,0.441,0.04999272186561934
5,2.0,1000.0,1000,1397.9414817473887,1908.4838273963378,2358.515717832582,2441.5068255638353,2543.7686789313866,,,,,,,,,,,0.361,0.05526528424287119
5,2.0,1000.0,1000,1615.373671127466,2122.6551850282326,2163.165376367701,2242.6599398963226,2868.375921233929,,,,,,,,,,,0.161,0.07712621214863272
5,2.0,1000.0,1000,1423.2260840722101,2246.6334176040373,2477.8747707503176,2729.0685704135867,2940.414295621968,,,,,,,,,,,0.521,0.11203349367666551
5,2.0,1000.0,1000,1115.7654423284966,1216.1530965156799,1542.4237822172772,1620.7467259750226,1894.5386679740834,,,,,,,,,,,0.031,0.09107261181769977
5,2.0,1000.0,1000,1342.9448293042801,1540.6744071288347,1570.9368631242867,1794.794947052142,1923.9973279793726,,,,,,,,,,,0.061,0.17050680686319486
5,2.0,1000.0,1000,1035.46828414735,1451.1189000450836,1494.4579968189294,1761.634377859371,2177.8717895484288,,,,,,,,,,,0.291,0.06511627547414597
5,2.0,1000.0,1000,1245.3722287285734,2065.33381709934,2242.282399847318,2407.7371594751294,2670.9049156536753,,,,,,,,,,,0.441,0.06920883442273569
5,2.0,1000.0,1000,1623.4392335875896,1849.140892499188,2089.105038253162,2249.582888978312,2296.9866396374064,,,,,,,,,,,0.081,0.12856253098508602
5,2.0,1000.0,1000,1880.3773342749446,2065.585311136162,2066.5756440025125,2073.1198614368877,2272.037721683785,,,,,,,,,,,0.111,1.0079353897972918
5,2.0,1000.0,1000,1149.3645044003156,1623.3418129325914,2447.4368250810303,2461.2115470163217,2624.5256529915855,,,,,,,,,,,0.681,0.01502651936960089
5,2.0,1000.0,1000,1889.799630543126,2031.423514242008,2470.955537022848,2649.367425076366,2772.230925988023,,,,,,,,,,,0.041,0.21091344715482557
5,2.0,1000.0,1000,1176.3062762817256,1880.9075847935783,1908.801026544247,2085.7211554968,2210.9391607258076,,,,,,,,,,,0.221,0.23547205618729883
5,2.0,1000.0,1000,1104.771954473034,1432.040351825552,1901.6872398431624,2290.185832380367,2988.836855564061,,,,,,,,,,,0.491,0.23830092479622972
5,2.0,1000.0,1000,1263.771877319225,1494.9291819425657,1736.0536854824823,1835.4946979506676,2126.7241906065124,,,,,,,,,,,0.121,0.02294287929883332
5,2.0,1000.0,1000,1275.7204677900822,1557.8088994402449,1704.714915073866,1901.4919188187832,2008.038800883054,,,,,,,,,,,0.171,0.04027684606269214
5,2.0,1000.0,1000,1379.4090351464456,1470.193322779256,1752.9094093431045,1845.0783860718557,1915.1507758026346,,,,,,,,,,,0.051,0.1513379734729045
5,2.0,1000.0,1000,1219.454157260666,1668.4314854545958,1705.035258170201,1923.36490485351,3063.6630672290785,,,,,,,,,,,0.051,0.08252585038267327
5,2.0,1000.0,1000,1329.100319479167,1478.194356466085,1898.7181460745367,1964.279731720319,2066.279141042756,,,,,,,,,,,0.091,0.02309115165441291
5,2.0,1000.0,1000,1138.2076935336324,1737.3573121826862,1807.7369780483145,1960.322133329532,2761.4829827084523,,,,,,,,,,,0.581,0.048787978820282116
5,2.0,1000.0,1000,1388.2512834930376,1684.399932028039,1823.8973752602828,2090.925204982542,2234.87353490005,,,,,,,,,,,0.141,0.014197664805384095
5,2.0,1000.0,1000,1366.7368011590938,1473.8542735749515,2012.2822256025486,2230.6121066214127,2432.0869184431667,,,,,,,,,,,0.071,0.00781948850909639
5,2.0,1000.0,1000,1239.8095334710624,1626.9002290208775,1775.7950797266026,1957.1927922086122,2366.2465847428393,,,,,,,,,,,0.241,0.00770281351590665
5,2.0,1000.0,1000,1412.4441040240663,1512.553714478697,2040.1134218970117,2159.704627474907,2321.4238381487057,,,,,,,,,,,0.081,0.002524145465664843
5,2.0,1000.0,1000,1109.5500219369071,1394.846447831984,2031.6550560744886,2050.4874334018623,2816.6700850036605,,,,,,,,,,,0.281,0.17439378879499218
5,2.0,1000.0,1000,1115.5505260618634,1643.3840615832355,1643.3870227812617,1986.6386986274179,2467.9188434165635,,,,,,,,,,,0.411,0.03835079848665686
5,2.0,1000.0,1000,1289.377138916177,1516.5217464803504,2128.1760564714796,2629.4285429772335,3058.0498053051033,,,,,,,,,,,0.111,0.22347262839552004
5,2.0,1000.0,1000,1288.311753674175,1352.3090071199097,1723.0793733140667,1828.5379312712178,1880.1931401184238,,,,,,,,,,,0.061,0.09282211058130765
5,2.0,1000.0,1000,1316.3801906128751,1758.6142385665544,1875.0659331003421,1997.7299570710848,2086.6537741342772,,,,,,,,,,,0.261,0.05533370743888431
5,2.0,1000.0,1000,1120.1568257695287,1487.8732853176582,1746.9992907148207,1972.862825760054,2440.5559481949667,,,,,,,,,,,0.341,0.07029051875760012
5,2.0,1000.0,1000,1763.5481526393155,1793.8877031926477,1994.8965441400687,2024.8040627861026,2213.78978463785,,,,,,,,,,,0.011,0.6084596177701089
5,2.0,1000.0,1000,1203.9986699044016,1609.38792738756,1611.8754397720668,1899.367296398967,2252.172583725794,,,,,,,,,,,0.201,0.013463723464387713
