n,beta,eta,gamma,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,optimal_delta,best_relative_mse
10,2.0,100.0,1000,1025.8997909874151,1045.2305635222972,1047.5437533333227,1049.8616626381395,1067.3654593957835,1081.1224764392587,1094.3167813931047,1098.8094499337371,1123.4330809293228,1124.482013572698,0.091,0.03321910476845147
10,2.0,100.0,1000,1057.15087882731,1074.4602613778327,1105.5051468922868,1118.58508147808,1127.4524732626635,1132.531278027165,1135.0768158574717,1150.0854048457243,1153.7004237613382,1174.2357303316057,0.341,0.0069574169693231835
10,2.0,100.0,1000,1032.6217212477866,1039.5018646056383,1045.5035767820916,1061.30590258736,1068.441149745383,1080.0635984335504,1081.811929373052,1088.1073299902032,1102.2682408907117,1108.0459311429245,0.061,0.11664330199002047
10,2.0,100.0,1000,1015.2783617472995,1052.9283024191654,1068.8125726133924,1086.2354917335724,1101.271836180591,1110.5576056457915,1115.7859371959514,1132.1654749087083,1146.2433037883013,1151.5177257423916,0.501,0.0027811086218393387
10,2.0,100.0,1000,1006.1460103148872,1035.8797899527794,1066.4953021208778,1075.2693598790759,1083.9833712054835,1097.720157176241,1102.3989803244042,1108.5361523160286,1130.8212154474031,1162.9665846934433,0.501,0.00028960495304302514
10,2.0,100.0,1000,1036.2392780938335,1052.1977463344845,1059.9827438117966,1063.3270903398434,1067.8120004473046,1080.0970682965883,1083.1111341739054,1083.3909192339538,1100.7946348640364,1118.022030979089,0.131,0.1610323569907863
10,2.0,100.0,1000,1009.3181929139038,1058.7523444972264,1085.1477149023665,1086.3402882572263,1094.5745789051846,1102.7428852657065,1111.254422167473,1163.794693165251,1177.2354674638705,1183.1251043211666,0.611,0.02504151072919359
10,2.0,100.0,1000,1017.4885747380954,1024.4460852301931,1035.714785635604,1072.837777993331,1081.3656977910273,1109.5449898607167,1113.7040732887456,1118.0063913653273,1135.3661884262249,1161.1701004377944,0.201,0.01775284631799429
10,2.0,100.0,1000,1046.667084337539,1065.9963791884354,1066.865098976389,1068.1991995916762,1083.0936674426487,1112.704673216716,1117.3932495845297,1119.2840676110338,1121.7488102834986,1174.016064109082,0.041,0.025599228878312928
10,2.0,100.0,1000,1032.5963761449887,1036.050484973386,1062.2356490480754,1091.9785530446297,1094.2323005563214,1116.0647368528146,1145.7889444520747,1156.898233960973,1169.4477382844707,1192.9925830530012,0.251,0.05548326908011307
10,2.0,100.0,1000,1007.3943740279785,1024.165865644123,1048.938048866997,1074.3989179936082,1087.6213555332401,1104.1620519202331,1124.0220817244683,1134.8567638030102,1135.1743968559144,1150.218050316011,0.391,0.059988878575413886
10,2.0,100.0,1000,1052.7695630943324,1069.5162610709183,1071.4021127623168,1080.0983941708748,1080.8792572363122,1106.0249689842024,1109.9089826457878,1123.717941164263,1125.733016877669,1138.113264970325,0.081,0.08763421356137162
10,2.0,100.0,1000,1033.763905743345,1053.0750392303057,1056.599901414184,1094.4835690642378,1096.7110481547138,1097.816308803138,1101.2500443814693,1162.6998458594348,1164.559371466622,1185.7768108184114,0.141,0.016203987113317962
10,2.0,100.0,1000,1002.9184204364276,1023.6937561904195,1047.9950138899117,1050.960080329353,1058.9843598044051,1072.4573232779394,1080.6553523775733,1089.3372662325698,1109.0972950140879,1117.0429573861834,0.341,0.005539487610942868
10,2.0,100.0,1000,1023.9411644160496,1053.7925414583963,1065.8060904985296,1066.4167142401486,1068.1986176586313,1078.651994194272,1115.40168770059,1117.6461689312414,1147.3253136772364,1169.4026342700995,0.221,7.723487874157737e-05
10,2.0,100.0,1000,1023.3377283216714,1054.6146894674027,1056.7631588000545,1065.028916864736,1065.8111717239262,1107.897495408605,1122.2711726514606,1137.3858472741922,1146.503289024148,1186.1596013273377,0.231,0.011911002802949558
10,2.0,100.0,1000,1026.2321848857498,1029.4450552064402,1051.3139417239934,1058.4231322399698,1084.6338892300394,1092.6958538683632,1102.042598483576,1102.7077928806198,1118.6644967177251,1164.9659895278312,0.101,0.001219363574894863
10,2.0,100.0,1000,1009.2209092607493,1048.5870606034719,1059.885278332065,1071.6427101497275,1102.4868123775148,1105.7532442741606,1121.683072761882,1150.9429862447232,1195.2222965517742,1196.8413331904699,1.001,0.07191249722012844
10,2.0,100.0,1000,1025.0282567680129,1028.2645166665554,1055.3816380857074,1059.0773519846123,1067.5927463321152,1071.2276350494033,1093.0021937238134,1096.2707430741066,1146.1124367284388,1147.4596719873005,0.041,0.005846401368534889
10,2.0,100.0,1000,1003.3089686753209,1003.6500184892768,1092.8270333919415,1112.7192466639804,1121.0438745140511,1129.84205155919,1131.161459970421,1131.4437971836435,1158.0785789903382,1177.2240334584412,0.371,0.22095535221190937
10,2.0,100.0,1000,1044.4784820847156,1048.7889847628562,1055.3527270727625,1087.4419617995802,1108.4661276399406,1123.4387817312654,1130.6227162118057,1172.6768354275207,1175.3160964127665,1178.396123321434,0.091,0.019137797248534264
10,2.0,100.0,1000,1053.6337726972629,1061.9860972662634,1063.7725660190547,1081.9275658523975,1106.3902869884757,1114.002975270976,1121.6146648067659,1129.4483992125636,1134.2096961275759,1160.8206150277094,0.061,0.02525948361197309
10,2.0,100.0,1000,1010.0659506942874,1010.7333516747555,1051.1399077346052,1063.1554922616267,1073.7574374666503,1082.6854242791965,1115.7128606646809,1142.538756875948,1195.2405549372875,1208.103191001487,0.251,0.103824906523385
10,2.0,100.0,1000,1038.7555189564737,1046.0689006104171,1060.1495920324214,1060.8729790594032,1066.6295563075614,1077.1669769114735,1077.2079069032616,1089.2979227255591,1099.3105454928332,1105.8348514859779,0.081,0.19647551868328506
10,2.0,100.0,1000,1015.0703150130199,1044.4889699338612,1072.8050295419634,1076.1933980541537,1085.1961227553822,1114.8324443755935,1120.68392134151,1140.3075353239035,1159.3624216116434,1178.6474875077902,0.991,0.01672749674034883
10,2.0,100.0,1000,1018.9444898437547,1032.0920906348617,1039.0231255126928,1044.7025128361984,1052.7548701211942,1078.142303027695,1078.7079425174118,1101.151789667048,1107.5481048253396,1116.0497769690176,0.011,0.03457356050089251
10,2.0,100.0,1000,1011.8642780269188,1037.3950076653296,1037.5032810924151,1055.490611842611,1062.7633674046297,1067.5445047602661,1079.503707044913,1090.1056680828635,1095.596035443425,1128.1877696970223,0.251,0.029261078563683762
10,2.0,100.0,1000,1041.207985686552,1049.260192974907,1078.6350401998977,1078.8062214184035,1080.9694998471325,1082.993306516105,1107.3145717036234,1127.0371965188717,1141.7913723979896,1157.8684211329094,0.131,0.014920047211217941
10,2.0,100.0,1000,1033.7736139934277,1042.8064520607404,1045.3660959279323,1064.3079762595871,1069.9439578689705,1084.6965652955892,1086.3353415666752,1089.6083739890146,1095.0170910290938,1132.998707834483,0.021,0.08770164324732155
10,2.0,100.0,1000,1019.0954237445787,1061.2073162690754,1061.794425809801,1068.726975756717,1085.495718879329,1106.8405447701793,1114.2969252559003,1116.6550116068101,1172.9746474213568,1243.8705895902094,0.401,0.03308658769110978
10,2.0,100.0,1000,1029.8252952067319,1035.0529161853715,1062.3640787955364,1083.742249024044,1084.0299925590573,1114.3515276204016,1123.798138332832,1132.4508265220556,1140.5393363615435,1145.0511348132438,0.241,0.003695525941508989
10,2.0,100.0,1000,1028.2318292666807,1068.8456788430733,1081.4997789196366,1086.9183935713759,1094.246499679192,1098.1236424678884,1099.8054083079726,1101.4204237833953,1112.8484664869568,1161.9762517346414,0.251,0.16214905749025973
10,2.0,100.0,1000,1052.8625701234544,1067.649853022699,1073.6842998240377,1089.126803689693,1089.3907434457167,1092.0249739776295,1096.1108748920308,1118.9430938429136,1134.922607217408,1142.5870536715474,0.081,0.0909708434265093
10,2.0,100.0,1000,1035.3467631297456,1035.4896255561598,1056.477139193826,1064.2352614054896,1081.6468325047308,1096.6249973915153,1100.357402745426,1106.8306764647543,1111.6554720124018,1181.4203682621223,0.021,0.0083356812164455
10,2.0,100.0,1000,1025.285340347315,1032.7712667411622,1049.3558866968635,1087.4056707535985,1101.121365070126,1106.6252831683876,1112.0066989506909,1120.2853857742211,1138.7661100777068,1141.294768868392,0.271,0.0031218147503304775
10,2.0,100.0,1000,1016.4453516345311,1037.39564598153,1038.0131469659145,1040.9574420021838,1049.5121791600413,1066.5930579029762,1067.1406161817506,1077.2936309005263,1097.5316735016481,1097.5585675151142,0.131,0.11451976868486025
10,2.0,100.0,1000,1026.6218803347604,1040.5958233416345,1081.036747915052,1090.1037796045673,1090.6122922728478,1091.370478698136,1111.909894080789,1112.6869412283672,1121.4766449334043,1153.6547843118472,0.341,0.011583330444074294
10,2.0,100.0,1000,1032.7629497944308,1056.655125051253,1072.556648659871,1080.3386694293713,1081.6510528539832,1088.1058484368666,1107.5080299574952,1113.3565010081809,1114.8184434881896,1169.531132346908,0.231,0.01402651965257556
10,2.0,100.0,1000,1030.3100293136015,1045.73432263652,1065.5772225668807,1087.8085169471615,1089.8572077540753,1092.4176154310362,1120.1015247533362,1141.1235694017776,1154.8139819367143,1182.6947621775935,0.251,0.015168133172844931
10,2.0,100.0,1000,1004.9841817709798,1037.5928037116314,1038.0616674372232,1064.5019914460001,1072.613916811801,1079.7575720962666,1087.3998447949225,1089.3160675585902,1117.4670222205955,1123.6280417235846,0.351,0.007220523979106001
10,2.0,100.0,1000,1012.5474530911858,1036.7812310482427,1056.7402441318297,1080.3392005668957,1081.6196469896818,1110.8658669094948,1119.174598064836,1129.8430108085772,1152.611748114298,1176.0294742573308,0.491,0.05367085226040095
10,2.0,100.0,1000,1043.588357301285,1049.3987098793261,1062.876224399757,1079.0677545962794,1083.6296923385141,1101.6060631672644,1104.0098000612018,1121.3592607985208,1122.7930170610691,1132.1025960409365,0.101,0.0415176505240634
10,2.0,100.0,1000,1004.4512349141559,1038.8743324516456,1039.0665396445747,1063.191835220212,1099.4961939569644,1112.7908950936674,1121.625286194861,1176.4283053743811,1183.7741870349485,1202.4077448354626,0.601,0.1557627930294576
10,2.0,100.0,1000,1018.6099817680014,1027.8280496281484,1044.8339661952673,1061.0586421478872,1064.19024569532,1079.1130930546585,1084.9536977368484,1095.8220977588655,1106.3896666322044,1155.8185388107424,0.081,0.005398363741047477
10,2.0,100.0,1000,1036.0501966336137,1036.1237445912977,1063.4237559006885,1081.2895091228795,1097.9616299745617,1100.9032297359172,1114.736348471374,1135.6096308176568,1158.1114669492435,1168.3805126668408,0.201,0.0029463017267092498
10,2.0,100.0,1000,1009.7024168954064,1026.6170766446198,1037.4537584172224,1094.2523056179873,1099.0926693661859,1110.6328219069028,1120.4872269719747,1159.096357312596,1210.1285529694278,1236.8010265215746,0.451,0.21880566191942982
10,2.0,100.0,1000,1010.2949825079901,1034.2387514458253,1053.9945007030135,1072.214734991644,1091.9430881184699,1098.789924797846,1105.0563559658767,1150.3269531457481,1154.155095900521,1211.8745921568946,0.481,0.09623745701309631
10,2.0,100.0,1000,1036.7646996156645,1049.7071488254307,1083.2797377053544,1088.305301527741,1090.4752177595294,1092.682413916231,1116.9479097318754,1126.0379308744639,1144.2797156083625,1161.8302733698972,0.291,0.0022625677369009453
10,2.0,100.0,1000,1037.7012486981837,1046.571025863308,1062.8959011527475,1085.1200305910202,1085.2697051844011,1092.6633086574136,1099.620286707988,1102.511365573948,1118.2062796615971,1130.122682469519,0.211,0.048814823693894345
10,2.0,100.0,1000,1007.9961952715292,1030.0332800450271,1032.1163095889756,1062.7463099537283,1086.5226030623621,1088.005813308775,1112.7795297670848,1124.860699226327,1147.1616916182882,1178.9726413323315,0.281,0.05307940635490198
10,2.0,100.0,1000,1008.8014518425297,1058.5871725896352,1059.5797343369331,1095.1143102144347,1100.892583708907,1103.4385776544877,1104.7905008166292,1108.7657252025028,1114.8039823192507,1170.2595390734791,0.331,0.10032333936104137
10,2.0,100.0,1000,1029.9609085226866,1032.5416157381121,1074.830198920143,1082.0060950421619,1082.0598587411203,1090.2297288838306,1092.3634670083109,1107.1479021899436,1129.0533401718444,1140.1172403122714,0.291,0.02365325688839747
10,2.0,100.0,1000,1050.1349661675995,1070.8970240499893,1073.5337998385348,1074.0846571922839,1079.0884591583022,1099.8519102183998,1106.3115956541046,1111.2299075758337,1113.8073124310085,1133.055808011717,0.141,0.14093464817959261
10,2.0,100.0,1000,1017.7458709388039,1049.3282774668628,1053.4016671571817,1070.0722493150645,1078.5684275320118,1084.5143823908707,1143.3271314213193,1152.3487190219014,1169.7296842123978,1179.2352537332577,0.281,0.05199584621809029
10,2.0,100.0,1000,1034.2643306156563,1036.8276452469804,1051.9117146421518,1073.0743124362696,1087.774900252615,1093.7611411044381,1102.292684002578,1113.1059886006644,1134.8365029523736,1158.6164140891494,0.101,0.004131667437314398
10,2.0,100.0,1000,1033.802920972362,1049.5994657671483,1055.265909127762,1080.3065737618622,1085.1926736196303,1091.837690079,1113.40357721157,1118.6082572878906,1128.1101898424029,1135.8204645998921,0.181,0.009892621280878967
10,2.0,100.0,1000,1017.3318481314866,1048.6725062348823,1062.6091843263296,1067.5413395565874,1076.1678504615807,1086.0095853086414,1092.8334578906208,1104.2316068747252,1113.1985807815047,1131.5253969937278,0.341,0.032585640646975035
10,2.0,100.0,1000,1042.0014958393303,1047.961973892421,1074.5806863699731,1089.4355102507927,1090.684498485977,1094.8231237686891,1118.2740271409407,1124.1486015312596,1143.1986605881516,1207.7276862579708,0.071,0.0006302738089281302
10,2.0,100.0,1000,1021.196264976393,1055.2395490849638,1060.0015355790088,1068.7822914477342,1072.2275719152415,1077.8042392865204,1084.5180414069102,1106.1784211639972,1109.5622170116856,1162.615029498654,0.241,0.027975690662155682
10,2.0,100.0,1000,1040.9730720553966,1046.0212563223004,1058.4990297360039,1072.7069509807247,1089.1143021740313,1092.1042712699636,1103.0532001023437,1115.5041660771913,1121.3174941487794,1129.6583985939692,0.101,0.04408588255546237
10,2.0,100.0,1000,1022.6579856741449,1043.9456227056135,1058.027444065707,1063.3518089033576,1080.125325707024,1112.8449472342918,1137.1589929774555,1163.6424732899663,1164.4009537359157,1167.8311180250748,0.151,0.057393900547237524
10,2.0,100.0,1000,1019.6079995313613,1045.372840772332,1048.938281726538,1053.3116842823897,1089.7828564312915,1092.8764297595242,1111.1914346637418,1155.575331577585,1186.1242752385258,1191.1715955840896,0.111,0.05723466374059736
10,2.0,100.0,1000,1005.4898568191559,1030.2546123164714,1057.9895144713416,1083.2270797112394,1087.7494135344764,1102.7364884099738,1109.3917650595054,1127.578942120223,1140.5521931299759,1171.7342964246748,0.941,0.010071399483538435
10,2.0,100.0,1000,1028.8699381659494,1041.2637052012142,1057.8413083384407,1061.594816458317,1076.512727977274,1089.2569363828914,1089.2785872016618,1089.4678012623474,1091.500617639539,1137.864008375285,0.131,0.05308060002043663
10,2.0,100.0,1000,1036.2029710027766,1036.9505113133132,1045.607839569164,1060.0352827530369,1077.4422487759,1080.8993113144636,1083.484832533479,1096.051167517976,1107.3684843818778,1143.361768628731,0.011,0.0736089511410621
10,2.0,100.0,1000,1017.2211709728678,1037.983927782066,1041.516567737702,1049.3291672210376,1050.7297092832057,1060.8833058323864,1061.4797438318637,1081.2765385416924,1117.1265478161467,1132.0671523813235,0.031,0.05116991548901819
10,2.0,100.0,1000,1062.0898546400704,1079.3350802927168,1080.2159151299356,1101.5385798880486,1103.9744192769392,1118.7740330186668,1135.1753477931527,1144.5717149253494,1146.3170237925976,1180.2063557454767,0.091,0.01655978563006895
