sample_size,group_id,observation_index,value
7,19,6,1734.97
7,19,7,2380.76
7,20,1,1524.045
7,20,2,1686.536
7,20,3,1720.663
7,20,4,1394.959
7,20,5,1564.481
7,20,6,1360.107
7,20,7,1346.924
7,21,1,702.0918
7,21,2,1289.479
7,21,3,1416.718
7,21,4,870.8116
7,21,5,1980.174
7,21,6,1161.595
7,21,7,1409.393
7,22,1,1338.254
7,22,2,1162.564
7,22,3,1074.957
7,22,4,1682.033
7,22,5,909.181
7,22,6,1217.489
7,22,7,1183.412
7,23,1,2467.542
7,23,2,1391.15
7,23,3,682.8461
7,23,4,1803.099
7,23,5,1556.615
7,23,6,1005.877
7,23,7,1411.03
7,24,1,1985.794
7,24,2,1753.177
7,24,3,1632.233
7,24,4,723.2285
7,24,5,2138.01
7,24,6,1199.17
7,24,7,1344.574
7,25,1,1227.056
7,25,2,807.01
7,25,3,1055.776
7,25,4,1591.864
7,25,5,1955.207
7,25,6,1428.542
7,25,7,2420.195
7,26,1,1705.802
7,26,2,896.5796
7,26,3,942.4065
7,26,4,1181.664
7,26,5,871.3576
7,26,6,1513.05
7,26,7,1502.641
7,27,1,1482.82
7,27,2,1408.488
7,27,3,995.6631
7,27,4,933.8343
7,27,5,1807.548
7,27,6,944.5513
7,27,7,1277.411
7,28,1,1067.865
7,28,2,979.6124
7,28,3,1913.967
7,28,4,1062.153
7,28,5,1630.692
7,28,6,1902.639
7,28,7,2421.888
7,29,1,1225.367
7,29,2,1364.084
7,29,3,2110.084
7,29,4,1926.164
7,29,5,1491.539
7,29,6,1538.643
7,29,7,2850.211
7,30,1,1181.511
7,30,2,1364.985
7,30,3,1268.661
7,30,4,2217.419
7,30,5,1229.096
7,30,6,1404.436
7,30,7,1514.833
15,1,1,1960.139
15,1,2,1119.919
15,1,3,1346.858
15,1,4,1014.251
15,1,5,1700.838
15,1,6,2050.807
15,1,7,1363.647
15,1,8,873.7012
15,1,9,1221.264
15,1,10,2710.529
15,1,11,1636.332
15,1,12,929.4304
15,1,13,1003.447
15,1,14,688.9348
15,1,15,1390.17
15,2,1,886.875
15,2,2,860.947
15,2,3,2547.09
15,2,4,1271.42
15,2,5,1093.12
15,2,6,1904.23
15,2,7,887.359
15,2,8,1520.94
15,2,9,1859.11
15,2,10,755.008
15,2,11,2687.11
15,2,12,1121.48
15,2,13,967.282
15,2,14,1731.48
15,2,15,1152.18
15,3,1,1523.43
15,3,2,879.849
15,3,3,1659.8
15,3,4,1375.18
15,3,5,1823.94
15,3,6,1246.01
15,3,7,1278.26
15,3,8,1708.05
15,3,9,1586.78
15,3,10,1147.48
15,3,11,2232.32
15,3,12,1568.04
15,3,13,1308.68
15,3,14,1574.48
15,3,15,984.797
15,4,1,1145.28
15,4,2,1857.44
15,4,3,1321.49
15,4,4,2135.62
15,4,5,1073.11
15,4,6,1318.09
15,4,7,1137.87
15,4,8,1779.64
15,4,9,962.06
15,4,10,2013.02
15,4,11,1455.46
15,4,12,1169.96
15,4,13,1466.79
15,4,14,1432.49
15,4,15,2497.98
15,5,1,675.3884
15,5,2,1102.421
15,5,3,1041.317
15,5,4,1644.474
15,5,5,1224.625
15,5,6,511.87
15,5,7,1695.091
15,5,8,1227.298
15,5,9,1648.39
15,5,10,1595.225
15,5,11,1690.45
15,5,12,2472.244
15,5,13,1117.268
15,5,14,1817.126
15,5,15,1913.3
15,6,1,2324.4
15,6,2,1020.7
15,6,3,1457.8
15,6,4,1048.4
15,6,5,1334.8
15,6,6,1537.5
15,6,7,2248.9
15,6,8,1113.9
15,6,9,1539.0
15,6,10,1722.6
15,6,11,1637.2
15,6,12,1398.7
15,6,13,1791.1
15,6,14,1754.5
15,6,15,1908.7
15,7,1,2037.01
15,7,2,1384.66
15,7,3,2115.23
15,7,4,1188.47
15,7,5,1866.47
15,7,6,695.037
15,7,7,1174.83
15,7,8,905.602
15,7,9,1664.27
15,7,10,1761.96
15,7,11,735.825
15,7,12,1567.19
15,7,13,715.285
15,7,14,898.216
15,7,15,2124.79
15,8,1,1137.79
15,8,2,1200.32
15,8,3,1331.4
15,8,4,1301.99
15,8,5,917.488
15,8,6,1135.66
15,8,7,1629.21
15,8,8,1159.34
15,8,9,1647.7
15,8,10,1061.43
15,8,11,935.713
15,8,12,2293.75
15,8,13,1304.46
15,8,14,1523.67
15,8,15,1966.49
15,9,1,611.442
15,9,2,1665.95
15,9,3,1576.16
15,9,4,1235.1
15,9,5,1884.73
15,9,6,1702.92
15,9,7,1341.9
15,9,8,1552.82
15,9,9,686.914
15,9,10,781.574
15,9,11,1789.0
15,9,12,1083.82
15,9,13,896.903
15,9,14,1118.72
15,9,15,2152.48
15,10,1,625.3081
15,10,2,878.9032
15,10,3,1947.872
15,10,4,1181.516
15,10,5,1785.034
15,10,6,1791.521
15,10,7,1503.246
15,10,8,1350.789
15,10,9,1279.891
15,10,10,1689.698
15,10,11,1326.065
15,10,12,665.321
15,10,13,862.0423
15,10,14,1362.518
15,10,15,719.7923
15,11,1,1720.2
15,11,2,1432.31
15,11,3,2363.81
15,11,4,1099.14
15,11,5,962.847
15,11,6,1812.72
15,11,7,1847.86
15,11,8,1814.21
15,11,9,961.357
15,11,10,2037.42
15,11,11,1197.81
15,11,12,1575.53
15,11,13,1058.56
15,11,14,995.238
15,11,15,1437.14
15,12,1,1337.18
15,12,2,800.319
15,12,3,1076.41
15,12,4,2095.55
15,12,5,1490.44
15,12,6,1517.87
15,12,7,1617.64
15,12,8,737.572
15,12,9,2010.76
15,12,10,1645.38
15,12,11,2272.09
15,12,12,1462.21
15,12,13,1380.13
15,12,14,1210.2
15,12,15,1265.37
15,13,1,1467.12
15,13,2,1577.28
15,13,3,2461.96
15,13,4,2352.54
15,13,5,1172.99
15,13,6,1995.81
15,13,7,1810.01
15,13,8,722.453
15,13,9,1743.24
15,13,10,1097.58
15,13,11,1262.66
15,13,12,851.178
15,13,13,2359.05
15,13,14,853.546
15,13,15,1256.82
15,14,1,1320.77
15,14,2,596.889
15,14,3,1637.98
15,14,4,699.358
15,14,5,1090.56
15,14,6,1447.24
15,14,7,1915.19
15,14,8,1398.56
15,14,9,2280.11
15,14,10,1221.22
15,14,11,1206.15
15,14,12,1294.29
15,14,13,1834.6
15,14,14,1167.69
15,14,15,1714.31
15,15,1,2447.604
15,15,2,615.7737
15,15,3,567.6855
15,15,4,1417.605
15,15,5,723.3047
15,15,6,1448.667
15,15,7,920.6449
15,15,8,961.2187
15,15,9,1004.999
15,15,10,2341.066
15,15,11,650.1541
15,15,12,1267.026
15,15,13,1700.387
15,15,14,1772.653
15,15,15,1258.37
15,16,1,1447.66
15,16,2,1262.8
15,16,3,2275.24
15,16,4,552.587
15,16,5,1006.0
15,16,6,1092.28
15,16,7,1299.69
15,16,8,1148.38
15,16,9,1840.66
15,16,10,1232.33
15,16,11,1303.33
15,16,12,1319.33
15,16,13,954.711
15,16,14,1594.53
15,16,15,1029.31
15,17,1,1763.93
15,17,2,1406.61
15,17,3,1630.97
15,17,4,1947.35
15,17,5,1242.55
15,17,6,1381.99
15,17,7,1299.2
15,17,8,1496.45
15,17,9,784.153
15,17,10,1253.23
15,17,11,689.63
15,17,12,1116.57
15,17,13,1198.81
15,17,14,1768.75
15,17,15,819.606
15,18,1,1272.962
15,18,2,964.5653
15,18,3,560.2201
15,18,4,1360.535
15,18,5,1477.26
15,18,6,1339.268
15,18,7,2449.793
15,18,8,1477.891
15,18,9,1236.724
15,18,10,1288.548
15,18,11,704.4213
15,18,12,762.9739
15,18,13,1356.473
15,18,14,2569.881
15,18,15,1500.126
15,19,1,2136.16
15,19,2,1372.04
15,19,3,1129.0
15,19,4,1150.97
15,19,5,1415.9
15,19,6,1734.97
15,19,7,2380.76
15,19,8,1082.18
15,19,9,662.187
15,19,10,1465.45
15,19,11,1627.37
15,19,12,984.343
15,19,13,2697.56
15,19,14,1455.87
15,19,15,1731.94
15,20,1,1524.045
15,20,2,1686.536
15,20,3,1720.663
15,20,4,1394.959
15,20,5,1564.481
15,20,6,1360.107
15,20,7,1346.924
15,20,8,1458.655
15,20,9,1500.113
15,20,10,1480.562
15,20,11,1209.271
15,20,12,1005.418
15,20,13,2316.411
15,20,14,1539.798
15,20,15,1521.849
15,21,1,702.0918
15,21,2,1289.479
15,21,3,1416.718
15,21,4,870.8116
15,21,5,1980.174
15,21,6,1161.595
15,21,7,1409.393
15,21,8,1448.075
15,21,9,1703.726
15,21,10,1620.133
15,21,11,1433.56
15,21,12,1496.323
15,21,13,1407.179
15,21,14,806.9804
15,21,15,1076.711
15,22,1,1338.254
15,22,2,1162.564
15,22,3,1074.957
15,22,4,1682.033
15,22,5,909.181
15,22,6,1217.489
15,22,7,1183.412
15,22,8,732.8658
15,22,9,1234.996
15,22,10,1011.323
15,22,11,1037.864
15,22,12,2161.231
15,22,13,1901.82
15,22,14,1032.247
15,22,15,1566.112
15,23,1,2467.542
15,23,2,1391.15
15,23,3,682.8461
15,23,4,1803.099
15,23,5,1556.615
15,23,6,1005.877
15,23,7,1411.03
15,23,8,1223.855
15,23,9,922.139
15,23,10,1304.198
15,23,11,2060.369
15,23,12,1738.186
15,23,13,1244.523
15,23,14,2837.646
15,23,15,2197.155
15,24,1,1985.794
15,24,2,1753.177
15,24,3,1632.233
15,24,4,723.2285
15,24,5,2138.01
15,24,6,1199.17
15,24,7,1344.574
15,24,8,1845.599
15,24,9,1540.483
15,24,10,1854.885
15,24,11,1314.516
15,24,12,1374.007
15,24,13,1431.187
15,24,14,1469.24
15,24,15,1202.958
15,25,1,1227.056
15,25,2,807.01
15,25,3,1055.776
15,25,4,1591.864
15,25,5,1955.207
15,25,6,1428.542
15,25,7,2420.195
15,25,8,1998.295
15,25,9,2275.751
15,25,10,1760.338
15,25,11,762.6976
15,25,12,1306.837
15,25,13,1472.161
15,25,14,607.2938
15,25,15,1022.145
15,26,1,1705.802
15,26,2,896.5796
15,26,3,942.4065
15,26,4,1181.664
15,26,5,871.3576
15,26,6,1513.05
15,26,7,1502.641
15,26,8,1519.63
15,26,9,1288.868
15,26,10,934.0136
15,26,11,1027.655
15,26,12,1134.739
15,26,13,933.9455
15,26,14,1444.712
15,26,15,1347.925
15,27,1,1482.82
15,27,2,1408.488
15,27,3,995.6631
15,27,4,933.8343
15,27,5,1807.548
15,27,6,944.5513
15,27,7,1277.411
15,27,8,2036.154
15,27,9,884.8594
15,27,10,1325.415
15,27,11,852.3089
15,27,12,1365.872
15,27,13,703.0205
15,27,14,2377.413
15,27,15,1594.623
15,28,1,1067.865
15,28,2,979.6124
15,28,3,1913.967
15,28,4,1062.153
15,28,5,1630.692
15,28,6,1902.639
15,28,7,2421.888
15,28,8,1357.077
15,28,9,700.1434
15,28,10,1258.257
15,28,11,1359.237
15,28,12,1891.563
15,28,13,1223.167
15,28,14,1102.271
15,28,15,1178.985
15,29,1,1225.367
15,29,2,1364.084
15,29,3,2110.084
15,29,4,1926.164
15,29,5,1491.539
15,29,6,1538.643
15,29,7,2850.211
15,29,8,2106.878
15,29,9,1621.119
15,29,10,1124.411
15,29,11,760.1071
15,29,12,1984.811
15,29,13,1170.898
15,29,14,1846.536
15,29,15,652.0938
15,30,1,1181.511
15,30,2,1364.985
15,30,3,1268.661
15,30,4,2217.419
15,30,5,1229.096
15,30,6,1404.436
15,30,7,1514.833
15,30,8,1453.254
15,30,9,1013.73
15,30,10,1278.186
15,30,11,703.9339
15,30,12,1065.182
15,30,13,915.6293
15,30,14,851.48
15,30,15,576.5215
