n,beta,eta,gamma,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15
15,0.5,100.0,50.0,51.105742111857914,53.399215923905274,57.296755858899736,63.16760184861488,64.04862889510336,82.43210387949775,92.26870309252907,93.6268194277206,113.91434697260132,139.64747909033133,157.78954115897938,159.3793377646534,171.456788602407,320.25998540602694,978.197941211805
15,0.5,100.0,50.0,50.01046994386242,51.54609741488269,52.41502869609026,55.15525515880496,55.828700613784,62.13529050864533,62.30203025139832,93.76262101689323,98.42316611213761,146.23746192084093,171.94098954380715,237.6087406693518,352.75740139634644,439.8843030191048,442.29241614689994
15,0.5,100.0,50.0,50.20610262254021,51.05707046815225,51.46043614127638,53.193790331481864,53.5889029532135,66.5498968431507,67.40128839991279,83.25085699177325,108.36958476150888,163.70901757581444,183.20259732228814,214.7591984215619,220.16105006440165,273.69570694146876,464.98465761411046
15,0.5,100.0,50.0,51.557723246529484,51.85135959029351,53.94706738216887,55.55596759203024,58.31637402081124,64.99018556970037,71.40066896436342,72.08954225382527,78.28931556574477,102.01262562132206,169.3775867896461,241.79712339285834,339.62879014508496,430.81346773666684,890.6943594831913
15,0.5,100.0,50.0,50.00903648850893,53.14406047647734,61.14405909287115,66.69807247760494,83.31729866586139,94.00310847893937,118.19006012408659,165.46114393566558,224.0452825169485,256.30926358283466,310.1936387943582,468.73288213809235,511.20264108515636,1539.2670869006326,9932.358452548011
15,0.5,100.0,50.0,55.18500435499432,55.22139492826347,55.35508847997428,55.40553516617206,62.69030855235281,68.15116325772487,71.51177081441836,102.98561328041859,116.1139934194597,132.82080913218857,139.51905037944704,206.0556083482965,262.293601832837,276.14275729949486,714.0101720411966
15,0.5,100.0,50.0,50.01710474413853,50.47602643456599,50.648898421178146,60.85750435385397,63.99113896972916,64.3196977117637,166.36740081236553,204.51456892651336,229.4003485189997,631.1399346527643,642.5615566105581,713.2644570496583,759.5959873081712,1132.7007725855663,1640.5536221337718
15,0.5,100.0,50.0,51.08555425880135,51.61159224703438,52.132548030186676,56.31690540102959,62.08828444733028,64.57090301733983,67.34284547074441,101.21794356946711,134.85665847789966,337.5698011031538,512.1821756296662,526.2155314970767,562.9633614403082,619.0803199030225,748.3437940412516
15,0.5,100.0,50.0,50.06492732513826,50.14353164359696,51.61815716099644,51.80947888461389,53.132985789003946,58.2599514223476,67.24533828004274,71.71066667710532,78.03972987008862,118.17666474470792,175.96418443188742,181.7011549416692,553.7469221109177,1396.7425311111106,1950.4378920848253
15,0.5,100.0,50.0,50.16583604518368,52.77693093233254,54.49844681404086,61.66910452898485,68.21202681140772,71.29325458797334,82.0441166953618,88.7998735420654,112.04900656191225,112.43800171877115,113.5234221923904,137.42004185047205,178.082922080913,398.6893931576865,412.39633849780296
15,0.5,100.0,50.0,50.094674326848725,55.883952885777646,58.6974386913682,66.03370934013984,66.51304120548818,101.1408520156628,116.06324972403691,132.81065660451196,138.6731440989954,172.75417002650312,182.02437279308984,208.6538862781172,258.568049928767,322.448827195994,571.4685645187874
15,0.5,100.0,50.0,50.16145725805444,52.02285857953819,52.799667041560916,54.75825449582496,57.50487110269212,78.86180725709308,79.27461580581458,79.31470692162176,86.56817270704974,97.9383252536075,118.18862191706964,127.70459271362775,150.19314064850062,358.8412890385042,421.77658555929406
15,0.5,100.0,50.0,50.093380896822346,51.17553166642915,51.2114500115165,57.93350075924017,60.69447004902373,60.984813503391685,62.544802224633216,74.28357879317524,80.88870735656366,147.32374463489595,207.65277149105506,231.02848584216963,335.1741121831102,434.51551843842367,1122.9858490108809
15,0.5,100.0,50.0,50.08581934079756,52.1010241650944,53.87536352107253,56.30666099963924,56.43212404188309,56.50491457433135,60.27933948112263,84.94556558935867,109.72121884366692,111.13347861474095,172.5169214143836,246.1365212279916,264.74469718849014,352.0196741071311,408.15304953630886
15,0.5,100.0,50.0,50.05428265288514,51.05623780623326,53.10321772825729,54.61567854511971,60.09238815512529,65.57416217751708,75.47211692578772,75.74020385673656,77.78277247104961,81.17903289451894,83.18404941497536,95.56501156653789,213.19567520623147,475.2318429360364,1730.2637793917193
15,0.5,100.0,50.0,50.20231802245654,51.58372053122372,56.165067596861874,56.93399018113361,61.05584779708455,64.85380175476645,65.41567190573085,69.7892401607595,74.61356865963452,77.10174836689139,77.4273999106828,104.62047919116735,147.71136348505547,484.5087770553767,874.6145511988188
15,0.5,100.0,50.0,50.21798563768377,50.50739531942321,50.94606537605349,56.150296762009425,63.015552759747905,76.8533523752514,77.0730078224673,82.24927009124991,89.45772046445535,98.38630665836025,129.036385784836,180.05602254781175,198.32054632020512,400.2827345968136,836.0575359130489
15,0.5,100.0,50.0,51.69341901422508,51.75747779120255,55.79297454400541,60.05116245280243,63.73325180304402,84.69146437826998,123.19264224530401,129.67572276922922,135.20660592328483,225.2399495334541,368.3418557021803,667.9077426328355,779.440024252143,1032.8265954049152,1154.9453447810138
15,0.5,100.0,50.0,50.59496303623449,54.7931750024608,56.289186229249395,59.86460075173288,67.15198716937357,70.84267404901935,78.793311212641,95.9163896607867,115.32264167957719,141.21309124981792,164.6187810057501,189.59493073424326,259.34758158157024,333.03028409042315,871.6964334401263
15,0.5,100.0,50.0,52.502358794517,55.308775038917844,60.92443709191816,63.66110446328507,89.92841387467382,95.17372292552119,101.06797011394522,105.92852098107781,116.75107065531628,174.81198275168896,196.8380236893203,213.53911325052272,315.1362028216464,555.5452818473118,1360.2831658171133
15,0.5,100.0,50.0,50.01590714188186,51.80871904389123,53.63460522287171,53.68500257512569,54.72268747296138,62.10297765748784,74.70864735384686,78.1919703287053,78.35845713148275,85.3417494280296,89.91129014230273,90.07642363659888,112.67621562041128,122.91868055996768,415.4837120114157
15,0.5,100.0,50.0,50.37783393939347,61.59610045155681,68.85913180611881,77.32412640165128,102.17742332057463,107.53681794236809,110.61520555270106,120.67569845434355,212.18524107370703,228.73546368724905,237.95631310804313,262.8381299704406,1083.7163962353025,1360.2823891225785,2223.81879599394
15,0.5,100.0,50.0,50.257373233675985,51.76134654645142,63.79481612598461,65.76246229546868,65.99086299060774,69.60687163175965,71.08210529024369,72.85726988506626,75.24011818029544,109.3610798115156,146.45855773796,158.96653514447962,161.39844536722796,312.1949269948529,401.60370120116426
15,0.5,100.0,50.0,50.08270493365976,52.814219475170106,53.70411206900074,53.827766589694676,55.82788915110845,58.03195213377669,65.86022355456947,93.88300879190959,107.15442183934192,138.43400695923137,185.88393733333783,224.47684894012255,496.5836435542209,655.1583129038431,1326.6286368482918
15,0.5,100.0,50.0,50.52628094130523,50.55755825778839,50.78241466694673,51.85180902488534,58.34035345844958,60.42043870274865,65.5929113593693,66.95942690111119,72.75348229634866,83.32511370014578,83.3976466838667,170.4352045517278,229.2922022337452,556.0689151332759,734.695628104001
15,0.5,100.0,50.0,50.00009684604986,50.26642341754818,52.47750456345349,53.60418205717647,62.45348492217891,71.97216717971573,87.91581863315534,104.60086206987941,117.35965547388305,140.51697423869498,147.53794794938332,170.38487089850577,181.8664729867127,195.38956241546026,322.23790648070604
15,0.5,100.0,50.0,51.26542089714477,52.84100693816131,54.20900663338007,54.752942026243126,54.82488578897947,61.96661507527099,89.03040073532901,103.55186718644876,121.18960222217895,125.23801260080397,262.4819283576286,489.595449507085,665.0424675804305,843.5580078689969,1929.6070649063765
15,0.5,100.0,50.0,50.10161610280511,55.45873016873996,60.32658441756306,62.677893797060435,66.95768395749421,73.41177679921148,83.45008455485312,105.20716087552128,203.66400791044907,274.61447062118555,422.02172632123217,496.3959587977814,574.3817440077189,799.6273737947646,981.7826732279837
15,0.5,100.0,50.0,54.69402901284931,92.75989059241098,94.42524898789554,116.89611127922808,121.41087760547376,126.82280284545028,173.81647399502015,190.76050309269482,193.51075070173718,206.2109773172985,272.67615860664546,609.7332037557862,625.848111662016,767.7088608162419,1047.2786667293026
15,0.5,100.0,50.0,50.03127856925647,50.06691961159129,50.22128089701699,61.15659414052732,61.7488861640049,66.23942743409728,96.37219541121502,98.53844146484633,110.9515608657219,216.09365967028035,572.9979881242504,580.2866056008215,1113.5503994896349,1685.1145183585559,2144.6919316067933
15,0.5,100.0,50.0,50.17962963312275,50.86799524300614,54.91578916813262,92.06990497262396,118.64951010150396,126.33629747519717,139.1139671486464,144.94820324092674,174.52351277308816,264.35819783785615,456.9114573145252,618.5467611809613,700.6973896403985,1103.0001525792925,1131.7709163969412
15,0.5,100.0,50.0,50.04712983388394,51.09953984384246,51.30114083822967,52.145048502737936,55.73351092876123,62.16976266160336,86.39675456762785,90.0785554835931,102.7932263511419,114.31438757683789,134.94764565111979,213.6985976763346,244.44164517298063,276.9690507215864,1117.8059930735724
15,0.5,100.0,50.0,50.359610967199536,51.78298803667519,53.343757218018766,61.99001158264092,98.30097326861684,107.19752069757223,172.46536873560922,217.2514565893603,219.51824483850908,229.6766283541937,366.4325474298047,395.5286816393397,739.7842687319212,1030.0598033538477,2101.324965776328
15,0.5,100.0,50.0,50.02358169850217,50.16065390760402,50.844940664037026,51.61059111881487,52.0849569471596,55.859974536641346,58.48480705188983,84.93459584305371,87.69751396416025,102.95092789789858,107.10430758124993,113.32972556563585,126.79066580267705,405.84492447895974,556.2614471610058
15,0.5,100.0,50.0,50.330004399970804,65.3683132946963,72.27756975745766,78.85439464495234,78.98405035420065,93.26177106209443,178.4056857989615,183.14890114324317,202.90687122906013,253.22138322323985,377.0326166478761,455.54626720301724,564.8622356773893,626.5005831543263,1491.513511163713
15,0.5,100.0,50.0,50.947606772743626,51.82944970067809,58.792817202684255,99.43290520916348,100.79622674477692,111.67782681221072,128.53539513662068,166.72364167034834,199.9376827019771,280.77455882480115,338.4657618241513,373.5180752848485,388.4424538739887,446.50826188892677,451.3352547072019
15,0.5,100.0,50.0,50.00334520380277,50.057292560601944,50.48715507519994,58.60903736828774,61.95746533810642,72.5421520549456,100.44155642487547,119.4286871732977,129.77427924187094,134.04625488777484,295.1393127343623,410.46844279867315,647.1635660658796,804.9381217061035,1351.068958754277
15,0.5,100.0,50.0,50.001351234873376,52.91852368721768,55.872272248802304,57.63744464047059,58.89053372563214,62.18911518475129,62.5102255924205,94.78344550944166,140.24478658823028,169.55615858486232,177.31337251883576,370.58827157588104,414.9827426857693,1373.0026116886509,1704.0301587244332
15,0.5,100.0,50.0,50.205418712780535,52.10199540303606,53.05873526441283,65.59950363953624,81.78830229759515,91.574571997488,107.05844930889268,112.62539476093023,114.6908053771355,205.26707543344048,221.82486095555274,223.18024277577013,257.9970359383519,341.0021672095293,698.2606393221853
15,0.5,100.0,50.0,50.18243100046974,50.36634139994294,51.379123591056945,52.72863139082398,53.53384614065242,62.16575415980192,79.9533569107861,105.93332636691275,178.4015954235956,195.2757912283754,307.89161116768764,393.28353659755646,523.054563148623,784.3604153212345,2245.674978470608
15,0.5,100.0,50.0,53.605977295551284,54.14021514133488,56.43348911766609,59.6710724926898,70.51147085461758,96.69296434780759,99.05714655506716,116.89254947295538,152.40895544006287,162.7356234782825,168.74621705152526,180.15327642134125,236.0489280980545,1031.357582347212,1395.0594113601283
15,0.5,100.0,50.0,54.615708444450235,58.50469969940161,58.80592238459658,74.45100033356405,74.83289078111466,84.09701875918289,98.7738980544963,106.28095743049819,141.48243689463334,150.11382482264645,156.0945919646083,330.1717535843439,530.4782890319304,904.5862070792497,1496.4085169010611
15,0.5,100.0,50.0,50.00642392585746,51.277517996430035,51.526273340495464,53.22461682723268,53.699113114416754,54.37619492181978,61.94295316421208,69.79489455619141,73.5950552704361,84.57818338292306,105.68409138515737,163.12848065124726,190.89819374976062,216.7816880912554,251.96993273551755
15,0.5,100.0,50.0,50.31038402994812,51.74134438943639,51.87063183866407,54.52073350854572,56.12546187141187,66.50457114901135,71.16525292930696,74.46938455511074,102.10844236271271,123.14502767579889,171.88321666471234,194.41180064955097,264.08369020871305,373.30155917384724,768.4982726411903
15,0.5,100.0,50.0,50.024709512327235,50.20114854886867,61.830249244209796,62.668260104026814,78.41744952868899,79.4977625521735,96.62258547391,115.15355813182757,138.26248104006356,146.46576154723323,850.8450833362131,1016.5380400368168,1535.5915968458496,1884.5138560901225,2107.4151387758434
15,0.5,100.0,50.0,60.418793379041006,67.69387962099607,82.29328686628708,84.03721656637772,87.6480614863979,89.9124616022144,106.33400794355111,131.01657643731335,175.46599755025596,190.33990210349882,215.1657626774258,361.3567641922444,442.1287295412598,672.5666349430395,3226.6573928340154
15,0.5,100.0,50.0,50.05255992454755,50.5099003785343,53.21947691771125,62.3653507772616,63.06035825237071,73.80723279148368,80.5839583814456,82.350456514825,120.5112141866808,125.00706554698402,155.9934354083959,157.72798002544258,808.6418716059295,829.4208063320085,888.7971497135986
15,0.5,100.0,50.0,55.360903900796345,72.15186883620807,77.06288365993369,103.65054775725022,123.76610710497864,162.29561909156195,165.10249464573027,231.91301863312063,297.8024364136895,301.98386104132965,307.8207116136309,328.26192292433484,376.19251700285594,976.9782546486969,1687.5941616374973
15,0.5,100.0,50.0,50.01283458226549,50.25852573674854,50.75329171411311,53.03581648688847,59.56025990660808,60.69149750490394,77.82266142611132,99.85962565356252,146.6617114120616,209.01591745917722,218.2929405335095,299.83621817715226,337.99644032061246,859.1207446046063,2909.5359993515194
15,0.5,100.0,50.0,50.05905748412061,51.31768689369918,52.06736629246424,52.92246544885901,58.317921608794855,65.10886693996204,68.6641224883488,75.13755970667775,77.9528232630218,185.95216550083782,398.9451341652018,402.42860166697534,950.471710978994,1425.5203180921708,3349.137567802162
15,0.5,100.0,50.0,50.00328555758025,50.068302910333855,53.3821719632717,54.924635900869724,61.453615975825564,78.5100664153188,94.1917357474835,115.9370339312121,142.2356148816365,155.96967889299322,197.05906485272442,217.56483665138606,570.0295971050525,573.8960364163431,984.7002774165383
15,0.5,100.0,50.0,50.00890748522994,51.9453609706538,59.30880487764591,59.82355098808099,63.04825677077576,71.28354078223163,88.8200505295178,113.51780620775683,188.87814743861145,245.04917691791937,275.2558633567253,314.7115949667627,330.21873522778014,547.4566797189439,839.9561201394007
15,0.5,100.0,50.0,50.234460825064765,52.25923118490186,52.32638839258493,56.52396187993096,58.14259354858554,59.46271781585587,69.20332330699055,80.26327475266544,106.16656591391354,115.9867219531797,117.03239891311394,198.6388147265822,213.24895502954013,444.1394107006971,790.4657290085748
15,0.5,100.0,50.0,50.071914731310216,50.27834613428789,52.53060085705949,54.160439464465625,55.67034496437852,70.14286074330226,73.29148689578292,76.26994049350944,90.5683048719774,97.86012764047268,148.9542973142582,185.1481958907131,238.46230175652195,577.9184122731816,4925.381372834565
15,0.5,100.0,50.0,52.56251679999791,57.82630436718378,66.51863990116729,86.89884019977296,89.73917741274369,91.08441631008202,95.53425640086559,96.86785858275218,106.7432032313694,193.9381113042456,208.6838345306998,233.7861781046602,341.98101688618897,768.3329340179575,790.116810970144
15,0.5,100.0,50.0,54.15989474936171,59.82846033233182,66.39570354268024,70.64558132481824,79.79339673896479,81.53424531703274,123.44070739038153,131.78628010056283,142.70810306962466,149.84345115095496,176.57995134741978,183.3391983171976,238.00233058258752,251.9923466085502,256.16525108190103
15,0.5,100.0,50.0,56.00439311896377,61.16893741052732,65.55897052252037,68.96675117665298,72.39848448065555,114.95560131430423,141.80206065499948,186.61593245284934,243.81310433471663,263.80527820863796,338.2338374524441,421.13246104249976,424.0997366971459,426.9482289545225,1380.0808763208543
15,0.5,100.0,50.0,50.144586987213,57.18884516784354,69.15808227364647,75.9727232488922,81.43879272904422,108.50046895740182,108.61802332617489,153.4956118505881,195.5395099952571,216.57996182989433,255.03983068316563,291.8129940224287,330.26672093462884,720.3235610913641,1764.3466795012805
15,0.5,100.0,50.0,50.00307748449154,53.278744391829285,53.903742773708714,60.742532859888996,91.45775223102632,93.8893658352921,148.8837176342613,165.66511602457308,349.3292385739885,408.5291074160384,654.5584757546418,750.715018473916,1448.8487900969365,1568.1902750990632,2456.320373151944
15,0.5,100.0,50.0,50.48278567265186,51.30668412175586,51.3875092754729,55.942825684046724,59.18422437080048,66.54692536931083,68.08042792320873,103.4076095276181,132.89138404100686,156.09934521654912,210.8691854927342,249.96231993248438,272.29625139481976,1108.2666603934258,1534.7698078556996
15,0.5,100.0,50.0,50.574115107381346,51.556807495137036,51.742289897358724,55.99219479346544,61.5340700755243,67.9155482140505,135.93542088824864,214.269127652344,218.41981524156205,228.31561049340573,337.72385502495774,343.2972504042854,441.9804560574204,452.95458391703977,704.7643913758466
15,0.5,100.0,50.0,50.248595758763955,59.78326586582426,67.45958435910876,71.22272475117629,77.02962438073276,84.53205040044634,93.9334943894653,94.12959854004782,96.24059111927804,98.33615244028587,100.0314446312137,138.46286784368482,167.26838156967338,762.9470279385728,1305.659692383576
15,0.5,100.0,50.0,50.38910546165102,51.15894548771017,51.662201036544424,56.27776878151807,60.55713305445656,81.34195367124718,84.84290025135024,85.11263326808219,111.34899511502496,125.22718617320854,159.92796020520478,191.62332090850524,236.60619380685796,532.769333789979,1823.8615212327256
15,0.5,100.0,50.0,50.001637270019565,53.26357911128571,53.42488786218103,55.93270206477488,74.41044334012354,77.10565794216888,82.6897085833046,85.48753081259147,87.14710325134868,92.95691624696907,122.1821170134245,142.2886066091854,208.6330223889831,296.82392920719224,783.6141040841931
15,0.5,100.0,50.0,50.36100927704714,57.83845350297071,69.72712286281961,71.79257054958575,76.3346037876895,83.9760525145686,84.79797963368148,96.58282229364755,98.54309173982315,100.06615487354462,124.04240961087972,125.05095016270347,140.76951392214218,187.90923891658448,272.8251776796085
15,0.5,100.0,50.0,50.46162493798281,50.686670067563426,52.03750493157935,52.52689779687263,62.528430294886306,77.78858789202087,87.3584877633488,138.20622941701885,170.32077522500106,212.18846629675002,353.8787957559827,466.8727575058744,764.2553343237098,835.0972074845586,1802.4720429495578
15,0.5,100.0,50.0,50.0937508582814,50.389279498513005,51.71529663633327,52.61924160900124,53.78998479093835,58.31934936241504,69.57873405537201,142.76490673163454,189.80069446003031,259.67870246836117,399.2445898776119,465.48175887867023,517.7974717302022,534.6080232493234,864.864050075113
15,0.5,100.0,50.0,50.229169130995054,51.30144557863463,52.127316519254265,52.35045028988334,53.56868863473477,60.32706052529991,65.20401817896264,78.02170935344571,91.1945232796528,108.85416501435955,114.60112952801205,127.10741418057074,648.6381852507445,1327.1162276102307,1497.479529413442
15,0.5,100.0,50.0,50.09744194445432,50.13648545410185,50.67105437196083,52.17054628832013,54.28414829980419,67.19457797911626,70.74779335719418,75.14584153031682,75.79560220052201,77.87644284711818,158.7082805152479,311.88861372847606,312.6038192294592,378.5849831827866,566.9604709482363
15,0.5,100.0,50.0,50.103567288593595,53.126652021947656,65.29209495612197,71.08162525528094,93.32395571789272,93.57653425740654,105.84242804019362,113.39104353490785,142.98591412420365,198.29074228026568,234.11216176788702,265.5246126777954,534.3738811003151,1069.992066173881,1302.6966334432168
15,0.5,100.0,50.0,51.123599245541065,58.162500753036866,60.15619068502622,74.62172547790867,76.0414437511458,86.11787851780139,93.10149515709386,104.65614223522535,105.36034933729124,207.5511844621294,314.4011068320665,502.2574835354238,605.8494248849372,855.0116641849645,1075.284542423689
15,0.5,100.0,50.0,50.128459533202786,50.9310731157871,51.43238070256425,58.798796681387685,69.7088674254816,73.22399032047235,76.00008367180459,76.03244450597695,88.80697028855582,105.56854442982993,119.36978590440631,121.66638851601367,139.39780915443163,148.85809117060003,421.9506947771371
15,0.5,100.0,50.0,50.997050322449624,51.364035905279216,51.99753874271383,55.671780089279906,57.23095144707711,75.58267050833533,77.64804796741656,121.59863803751598,137.62366225873657,140.1482987426303,181.42978669536853,243.35961564069586,355.77501426202355,573.2386899357223,1757.289627562393
15,0.5,100.0,50.0,50.00340954771538,50.263196783454816,51.2884524306341,51.34384636683693,58.09764534957152,58.97385387379146,61.518687410485015,64.18181072044614,66.37647046610635,73.79355566759352,100.34989546158168,101.38768021576459,123.9134608120786,354.82288688887013,3852.575400296252
15,0.5,100.0,50.0,50.0371484638619,50.06192045334749,52.10302095845968,54.26015573197672,62.77235584798309,72.59235860147672,76.89500584122119,92.93043967181924,125.84633441429996,134.2210831700794,203.0511446766,337.7067574353082,367.9013230264172,808.1587978548919,988.6117899329786
15,0.5,100.0,50.0,50.43238598708873,52.517038258501024,57.453131516696324,61.0705103166362,64.80532639844498,69.2535358757948,73.06212667218453,73.88314010301865,87.53634914143623,92.76840369255254,118.23160474792034,123.20113800233747,141.7295505472087,300.8240601679512,540.34744300087
15,0.5,100.0,50.0,50.39489953796241,52.94886030888667,55.64455051441253,58.79159365204651,64.40196934597301,80.94305020271803,85.63457532511465,93.17883163771603,118.48756590605004,157.15041994532112,183.84245123181432,260.5553098889032,549.0502433343852,915.6033621574829,4533.302181678948
15,0.5,100.0,50.0,50.00681822574467,52.192665058496544,56.144666336601155,57.83098362961023,61.88220919355268,63.49975963561003,65.13268761664398,126.00667051735812,129.33301846351975,129.73750862170812,147.49898718475833,193.01689908040484,248.32876583924136,410.6033319725792,830.1777531073492
15,0.5,100.0,50.0,50.00242991177619,50.30098397007428,57.31966269312312,57.41395859140083,65.20451742828186,68.44991149949436,72.79383068412508,81.51445229779456,175.43340098041756,183.8552423991953,236.75157057289044,327.1793032059483,381.8909738002438,582.3817123013546,1782.4599465758927
15,0.5,100.0,50.0,50.018364979544124,58.544130227678764,58.61054652459492,61.580255519424,75.82311671960773,76.68269978399952,89.77859731002046,98.631931656398,148.47633065663715,156.94262145082322,182.041717251245,187.0789309962406,438.9818789081767,453.08690243544174,978.5263805857059
15,0.5,100.0,50.0,50.01213705669475,50.01327343561307,50.078804443986854,51.06004872785696,51.12419043528707,52.219395470044546,54.09608341892236,62.11156525291439,104.25894367740935,202.78484113794988,269.4745619084824,328.87996428048666,431.9213002175061,446.74529487062017,2579.4955531137352
15,0.5,100.0,50.0,50.00161063432758,50.03532225829544,50.22357653294436,50.58421033261769,52.54104331097394,54.19546097848586,58.36856211100504,58.393652864065096,59.16109784940764,60.36467806133212,65.35403830784351,75.97392222600345,93.6184353067371,105.58578525420889,133.39972279723628
15,0.5,100.0,50.0,50.567786418001226,52.19525021649762,54.27405790490591,54.74873301362828,55.12465789753094,80.38193905059862,82.6418076481855,91.15424844648388,166.56176730085042,217.49992831888892,292.33879954549343,320.428509720277,385.02446305148356,442.27104622649074,1101.286779951165
15,0.5,100.0,50.0,50.073907082404055,50.40251824183565,53.408929322165946,54.397419589572,65.7065821528246,76.54295644908882,81.27326501509864,92.07187997429793,125.2797161184532,135.40284763555854,200.88472337026292,248.94168338416,311.03017885233453,531.2931631037002,811.1456496913415
15,0.5,100.0,50.0,50.30323474417681,50.937812140065155,52.658139911854335,57.16118510581891,66.29442893203066,70.13671972171018,74.02587026160663,75.03124492072385,88.10311686961859,95.05799832233423,119.03630099256365,209.8355332711967,287.2627371517374,348.1519979479266,2268.2972095389255
15,0.5,100.0,50.0,50.411625377003915,55.945815128665565,56.06600336332847,64.8573897752314,72.00395258947688,74.01399898162835,88.25248126008557,93.33253648384577,331.0913901998964,333.792849931955,340.26441446610636,471.09027927805477,504.05988643254886,1049.077132073371,1600.1665525937544
15,0.5,100.0,50.0,50.08572581087188,50.3022763885923,53.554508692131996,57.20538986819531,58.08912974055339,65.24125344376218,67.6506062719727,88.34283954481987,105.76650451768617,108.22213643380528,136.19801768159442,200.0763469614397,208.69726729525885,381.9881054265671,2745.5966191118787
15,0.5,100.0,50.0,50.05556430764521,50.16498379812989,51.112181683911594,56.720077117091364,64.01602179397862,67.79340970008917,80.48777272619913,116.0125829376844,118.16451683591505,187.02187951377365,217.63068079087293,302.87061798812834,373.00884657073624,1202.030431987652,1347.7459022859205
15,0.5,100.0,50.0,50.00950813959831,52.275186927999975,52.84401344086401,53.519647475738495,54.145267104293424,64.06477005523105,70.89894328760427,89.78851969435073,96.67577229523513,136.71086820189532,142.47807726986662,192.02944188083669,197.81092680447136,233.59291563157595,829.0869979901565
15,0.5,100.0,50.0,57.753398271440425,59.01554451575781,80.42945096608013,88.30839375304012,111.24909891329327,126.77395980577882,158.36527699297784,166.81562803483126,177.42290987828352,320.63474293139285,321.1401387938714,492.7359702066906,659.0844830609109,711.7513024687988,1076.6623950794713
15,0.5,100.0,50.0,58.18222645885753,61.76774395450409,66.90278310421711,86.85908943436058,96.11520485929256,112.4750815402521,118.31176938432331,130.7082668078121,150.53613334053364,177.47583250952624,213.28500637737207,278.97477563831274,404.5177434726676,864.1458055417571,894.6472064196738
