profile_group,repeat_id,gradient_at_zero,gamma_hat_default_over_eta,l6_delta,l6_gamma_hat_over_eta,gamma_over_eta,gradient
low,285,0.0294221926119984,0.3906165481054165,0.14,0.4659652717414761,0.7605568455111646,0.515615959241909
low,285,0.0294221926119984,0.3906165481054165,0.14,0.4659652717414761,0.7606561470679674,0.5154315169849275
low,285,0.0294221926119984,0.3906165481054165,0.14,0.4659652717414761,0.7607260368497268,0.5153014071688271
low,285,0.0294221926119984,0.3906165481054165,0.14,0.4659652717414761,0.7607752262255195,0.5152096873241412
low,285,0.0294221926119984,0.3906165481054165,0.14,0.4659652717414761,0.7608098463749886,0.5151450610228256
low,285,0.0294221926119984,0.3906165481054165,0.14,0.4659652717414761,0.7608342125054782,0.5150995402156312
low,285,0.0294221926119984,0.3906165481054165,0.14,0.4659652717414761,0.7608513617184117,0.5150674842572158
low,285,0.0294221926119984,0.3906165481054165,0.14,0.4659652717414761,0.7608634315669404,0.515044914086329
low,285,0.0294221926119984,0.3906165481054165,0.14,0.4659652717414761,0.7608719264899475,0.5150290246961999
low,285,0.0294221926119984,0.3906165481054165,0.14,0.4659652717414761,0.7608779053319129,0.5150178393437986
low,285,0.0294221926119984,0.3906165481054165,0.14,0.4659652717414761,0.7608821133219342,0.5150099658397377
low,285,0.0294221926119984,0.3906165481054165,0.14,0.4659652717414761,0.7608850749623526,0.5150077161822865
low,285,0.0294221926119984,0.3906165481054165,0.14,0.4659652717414761,0.7608871594050256,0.5150028403408703
low,285,0.0294221926119984,0.3906165481054165,0.14,0.4659652717414761,0.7608886264640344,0.5149994084590523
low,285,0.0294221926119984,0.3906165481054165,0.14,0.4659652717414761,0.7608896590000517,0.5149969929874421
low,285,0.0294221926119984,0.3906165481054165,0.14,0.4659652717414761,0.7608903857128971,0.5149952928593342
low,285,0.0294221926119984,0.3906165481054165,0.14,0.4659652717414761,0.7608908971832486,0.5149940962213423
low,285,0.0294221926119984,0.3906165481054165,0.14,0.4659652717414761,0.7608912571630153,0.5149932540579221
low,285,0.0294221926119984,0.3906165481054165,0.14,0.4659652717414761,0.7608915105216547,0.5149926613284969
low,285,0.0294221926119984,0.3906165481054165,0.14,0.4659652717414761,0.7608916888388997,0.5149922441022978
low,285,0.0294221926119984,0.3906165481054165,0.14,0.4659652717414761,0.7608918143409937,0.5149919503617829
low,285,0.0294221926119984,0.3906165481054165,0.14,0.4659652717414761,0.7608919026710688,0.5149917432457196
low,285,0.0294221926119984,0.3906165481054165,0.14,0.4659652717414761,0.7608919648389729,0.5149915985196544
low,285,0.0294221926119984,0.3906165481054165,0.14,0.4659652717414761,0.7608920085935867,0.5149914960866393
low,285,0.0294221926119984,0.3906165481054165,0.14,0.4659652717414761,0.760892039388677,0.5149914233163546
low,285,0.0294221926119984,0.3906165481054165,0.14,0.4659652717414761,0.7608920610626788,0.5149913713102198
low,285,0.0294221926119984,0.3906165481054165,0.14,0.4659652717414761,0.7608920763171352,0.5149913382555856
low,285,0.0294221926119984,0.3906165481054165,0.14,0.4659652717414761,0.7608920870534285,0.5149913115945931
low,285,0.0294221926119984,0.3906165481054165,0.14,0.4659652717414761,0.7608920946097771,0.5149912938882089
low,285,0.0294221926119984,0.3906165481054165,0.14,0.4659652717414761,0.7608920999280377,0.5149912709829373
low,285,0.0294221926119984,0.3906165481054165,0.14,0.4659652717414761,0.7608921036711016,0.5149912731927981
low,285,0.0294221926119984,0.3906165481054165,0.14,0.4659652717414761,0.7608921063055207,0.5149912771377105
low,285,0.0294221926119984,0.3906165481054165,0.14,0.4659652717414761,0.7608921081596607,0.5149912782268097
low,285,0.0294221926119984,0.3906165481054165,0.14,0.4659652717414761,0.7608921094646295,0.514991270565114
low,285,0.0294221926119984,0.3906165481054165,0.14,0.4659652717414761,0.7608921103830841,0.5149912274094464
low,285,0.0294221926119984,0.3906165481054165,0.14,0.4659652717414761,0.760892111029505,0.5149912858229354
low,285,0.0294221926119984,0.3906165481054165,0.14,0.4659652717414761,0.7608921114844649,0.5149911977005603
low,285,0.0294221926119984,0.3906165481054165,0.14,0.4659652717414761,0.7608921118046716,0.5149912339654181
middle,258,-0.0014870264789646,0.6756697037194799,0.04,0.5676003263903434,0.0,-0.0014870264789646
middle,258,-0.0014870264789646,0.6756697037194799,0.04,0.5676003263903434,0.268813313201412,0.0027108631209168
middle,258,-0.0014870264789646,0.6756697037194799,0.04,0.5676003263903434,0.4580077669295959,0.016392854882225
middle,258,-0.0014870264789646,0.6756697037194799,0.04,0.5676003263903434,0.5911653880876142,0.0485730555148199
middle,258,-0.0014870264789646,0.6756697037194799,0.04,0.5676003263903434,0.6756697037194799,0.1000000000016124
middle,258,-0.0014870264789646,0.6756697037194799,0.04,0.5676003263903434,0.6848835268758497,0.1085642187470861
middle,258,-0.0014870264789646,0.6756697037194799,0.04,0.5676003263903434,0.750843623350598,0.2011819215200269
middle,258,-0.0014870264789646,0.6756697037194799,0.04,0.5676003263903434,0.7972672333711627,0.3215359560104731
middle,258,-0.0014870264789646,0.6756697037194799,0.04,0.5676003263903434,0.829940799398564,0.4509814043483155
middle,258,-0.0014870264789646,0.6756697037194799,0.04,0.5676003263903434,0.8529368980749494,0.5629689267067073
middle,258,-0.0014870264789646,0.6756697037194799,0.04,0.5676003263903434,0.8691218640468479,0.6405047878093332
middle,258,-0.0014870264789646,0.6756697037194799,0.04,0.5676003263903434,0.8805130624930655,0.6848403317086327
middle,258,-0.0014870264789646,0.6756697037194799,0.04,0.5676003263903434,0.888530342372826,0.70672074438515
middle,258,-0.0014870264789646,0.6756697037194799,0.04,0.5676003263903434,0.894173012630384,0.716235186144763
middle,258,-0.0014870264789646,0.6756697037194799,0.04,0.5676003263903434,0.8981444004468312,0.7197356686315955
middle,258,-0.0014870264789646,0.6756697037194799,0.04,0.5676003263903434,0.9009395170261671,0.7205726291630853
middle,258,-0.0014870264789646,0.6756697037194799,0.04,0.5676003263903434,0.9029067579638876,0.7203551343897157
middle,258,-0.0014870264789646,0.6756697037194799,0.04,0.5676003263903434,0.9042913288027762,0.7198057934328552
middle,258,-0.0014870264789646,0.6756697037194799,0.04,0.5676003263903434,0.9052658085277264,0.7192248437298048
middle,258,-0.0014870264789646,0.6756697037194799,0.04,0.5676003263903434,0.9059516605677,0.7187205940648833
middle,258,-0.0014870264789646,0.6756697037194799,0.04,0.5676003263903434,0.9064343725304956,0.7183188101956386
middle,258,-0.0014870264789646,0.6756697037194799,0.04,0.5676003263903434,0.9067741117533102,0.7180129390850276
middle,258,-0.0014870264789646,0.6756697037194799,0.04,0.5676003263903434,0.9070132248236596,0.71778627478599
middle,258,-0.0014870264789646,0.6756697037194799,0.04,0.5676003263903434,0.9071815158438672,0.717621122250403
middle,258,-0.0014870264789646,0.6756697037194799,0.04,0.5676003263903434,0.907299961345157,0.717502106643939
middle,258,-0.0014870264789646,0.6756697037194799,0.04,0.5676003263903434,0.907383324894552,0.7174169675261403
middle,258,-0.0014870264789646,0.6756697037194799,0.04,0.5676003263903434,0.9074419972906504,0.7173563654936583
middle,258,-0.0014870264789646,0.6756697037194799,0.04,0.5676003263903434,0.9074832917183576,0.717313376420987
middle,258,-0.0014870264789646,0.6756697037194799,0.04,0.5676003263903434,0.907512355296344,0.7172829535178666
middle,258,-0.0014870264789646,0.6756697037194799,0.04,0.5676003263903434,0.9075328106365024,0.7172614589721362
middle,258,-0.0014870264789646,0.6756697037194799,0.04,0.5676003263903434,0.907547207382188,0.717246290217734
middle,258,-0.0014870264789646,0.6756697037194799,0.04,0.5676003263903434,0.9075573400069562,0.7172355948271057
middle,258,-0.0014870264789646,0.6756697037194799,0.04,0.5676003263903434,0.9075644714856208,0.7172280570506095
middle,258,-0.0014870264789646,0.6756697037194799,0.04,0.5676003263903434,0.907569490716976,0.7172227467786905
middle,258,-0.0014870264789646,0.6756697037194799,0.04,0.5676003263903434,0.9075730233200416,0.7172212289255945
middle,258,-0.0014870264789646,0.6756697037194799,0.04,0.5676003263903434,0.9075755096139656,0.717217937996063
middle,258,-0.0014870264789646,0.6756697037194799,0.04,0.5676003263903434,0.9075772595013324,0.7172156208021724
middle,258,-0.0014870264789646,0.6756697037194799,0.04,0.5676003263903434,0.9075784910957814,0.7172139894980258
middle,258,-0.0014870264789646,0.6756697037194799,0.04,0.5676003263903434,0.9075793579086496,0.7172128410838232
middle,258,-0.0014870264789646,0.6756697037194799,0.04,0.5676003263903434,0.9075799679832964,0.7172120328227944
middle,258,-0.0014870264789646,0.6756697037194799,0.04,0.5676003263903434,0.9075803973621024,0.7172114637579378
middle,258,-0.0014870264789646,0.6756697037194799,0.04,0.5676003263903434,0.9075806995647268,0.7172110632179008
middle,258,-0.0014870264789646,0.6756697037194799,0.04,0.5676003263903434,0.9075809122590304,0.7172107812496257
middle,258,-0.0014870264789646,0.6756697037194799,0.04,0.5676003263903434,0.9075810619561642,0.7172105830180853
middle,258,-0.0014870264789646,0.6756697037194799,0.04,0.5676003263903434,0.9075811673150362,0.7172104431760798
middle,258,-0.0014870264789646,0.6756697037194799,0.04,0.5676003263903434,0.9075812414680386,0.7172103453598319
middle,258,-0.0014870264789646,0.6756697037194799,0.04,0.5676003263903434,0.907581293657927,0.7172102760941085
middle,258,-0.0014870264789646,0.6756697037194799,0.04,0.5676003263903434,0.9075813303898778,0.7172102286381121
middle,258,-0.0014870264789646,0.6756697037194799,0.04,0.5676003263903434,0.9075813562423226,0.7172101911992852
middle,258,-0.0014870264789646,0.6756697037194799,0.04,0.5676003263903434,0.9075813744376238,0.7172101689623542
middle,258,-0.0014870264789646,0.6756697037194799,0.04,0.5676003263903434,0.9075813872437234,0.7172101530044941
middle,258,-0.0014870264789646,0.6756697037194799,0.04,0.5676003263903434,0.90758139625683,0.71721013786058
middle,258,-0.0014870264789646,0.6756697037194799,0.04,0.5676003263903434,0.9075814026003765,0.7172101347431252
middle,258,-0.0014870264789646,0.6756697037194799,0.04,0.5676003263903434,0.9075814070650504,0.7172101332351872
middle,258,-0.0014870264789646,0.6756697037194799,0.04,0.5676003263903434,0.9075814102073484,0.7172101157757498
middle,258,-0.0014870264789646,0.6756697037194799,0.04,0.5676003263903434,0.9075814124189404,0.7172101272999397
middle,258,-0.0014870264789646,0.6756697037194799,0.04,0.5676003263903434,0.907581413975489,0.7172101344425867
middle,258,-0.0014870264789646,0.6756697037194799,0.04,0.5676003263903434,0.9075814150710088,0.7172101314938225
middle,258,-0.0014870264789646,0.6756697037194799,0.04,0.5676003263903434,0.9075814158420508,0.7172100867784013
middle,258,-0.0014870264789646,0.6756697037194799,0.04,0.5676003263903434,0.9075814163847202,0.7172100908643286
middle,258,-0.0014870264789646,0.6756697037194799,0.04,0.5676003263903434,0.9075814167666584,0.7172100534987914
high,287,-0.0094345139837392,0.9217616039495348,0.0,0.9208119366257946,0.0,-0.0094345139837392
high,287,-0.0094345139837392,0.9217616039495348,0.0,0.9208119366257946,0.2793191983686027,-0.0169459201549871
high,287,-0.0094345139837392,0.9217616039495348,0.0,0.9208119366257946,0.4759078364899095,-0.0297168882493004
high,287,-0.0094345139837392,0.9217616039495348,0.0,0.9208119366257946,0.6142695848556237,-0.0508290692570716
high,287,-0.0094345139837392,0.9217616039495348,0.0,0.9208119366257946,0.7116504589171462,-0.0847393097238663
high,287,-0.0094345139837392,0.9217616039495348,0.0,0.9208119366257946,0.7801884381274167,-0.1374847340119235
high,287,-0.0094345139837392,0.9217616039495348,0.0,0.9208119366257946,0.8284263969617137,-0.2160790557811566
high,287,-0.0094345139837392,0.9217616039495348,0.0,0.9208119366257946,0.8623769262786128,-0.3248463019990657
high,287,-0.0094345139837392,0.9217616039495348,0.0,0.9208119366257946,0.8862717690280141,-0.4520380786857385
high,287,-0.0094345139837392,0.9217616039495348,0.0,0.9208119366257946,0.90308928326142,-0.5317030248634121
high,287,-0.0094345139837392,0.9217616039495348,0.0,0.9208119366257946,0.9149256777485902,-0.3764999414560294
high,287,-0.0094345139837392,0.9217616039495348,0.0,0.9208119366257946,0.9217616039495348,0.0999999999960349
high,287,-0.0094345139837392,0.9217616039495348,0.0,0.9208119366257946,0.9232562926368252,0.2874932943380462
high,287,-0.0094345139837392,0.9217616039495348,0.0,0.9208119366257946,0.929119492320758,1.475801061913828
high,287,-0.0094345139837392,0.9217616039495348,0.0,0.9208119366257946,0.9332460917368728,2.798956197343995
high,287,-0.0094345139837392,0.9217616039495348,0.0,0.9208119366257946,0.9361504483440248,3.850007011788619
high,287,-0.0094345139837392,0.9217616039495348,0.0,0.9208119366257946,0.9381945738941244,4.484361073153089
high,287,-0.0094345139837392,0.9217616039495348,0.0,0.9208119366257946,0.9396332571654146,4.790650857745484
high,287,-0.0094345139837392,0.9217616039495348,0.0,0.9208119366257946,0.9406458219538096,4.912902721973574
high,287,-0.0094345139837392,0.9217616039495348,0.0,0.9208119366257946,0.9413584787776972,4.950269519587412
high,287,-0.0094345139837392,0.9217616039495348,0.0,0.9208119366257946,0.941860056310764,4.953405226344826
high,287,-0.0094345139837392,0.9217616039495348,0.0,0.9208119366257946,0.9422130733776672,4.944867640902838
high,287,-0.0094345139837392,0.9217616039495348,0.0,0.9208119366257946,0.9424615315746742,4.933869058466953
high,287,-0.0094345139837392,0.9217616039495348,0.0,0.9208119366257946,0.942636399821701,4.923787271973085
high,287,-0.0094345139837392,0.9217616039495348,0.0,0.9208119366257946,0.942759474464384,4.915580496018914
high,287,-0.0094345139837392,0.9217616039495348,0.0,0.9208119366257946,0.9428460960662416,4.909271537372451
high,287,-0.0094345139837392,0.9217616039495348,0.0,0.9208119366257946,0.9429070615238274,4.904573423203542
high,287,-0.0094345139837392,0.9217616039495348,0.0,0.9208119366257946,0.9429499698392934,4.901141318193396
high,287,-0.0094345139837392,0.9217616039495348,0.0,0.9208119366257946,0.9429801692933616,4.89866435215547
high,287,-0.0094345139837392,0.9217616039495348,0.0,0.9208119366257946,0.9430014240785032,4.896890881789342
high,287,-0.0094345139837392,0.9217616039495348,0.0,0.9208119366257946,0.9430163834844052,4.895627939727394
high,287,-0.0094345139837392,0.9217616039495348,0.0,0.9208119366257946,0.9430269121170608,4.894732042818954
high,287,-0.0094345139837392,0.9217616039495348,0.0,0.9208119366257946,0.9430343223114448,4.89409780825397
high,287,-0.0094345139837392,0.9217616039495348,0.0,0.9208119366257946,0.9430395377067012,4.893649601826965
high,287,-0.0094345139837392,0.9217616039495348,0.0,0.9208119366257946,0.9430432083725798,4.893521295127453
high,287,-0.0094345139837392,0.9217616039495348,0.0,0.9208119366257946,0.9430457918369828,4.893242737240047
high,287,-0.0094345139837392,0.9217616039495348,0.0,0.9208119366257946,0.94304761011425,4.893046341777684
high,287,-0.0094345139837392,0.9217616039495348,0.0,0.9208119366257946,0.943048889842438,4.89290794593881
high,287,-0.0094345139837392,0.9217616039495348,0.0,0.9208119366257946,0.9430497905324842,4.892810457755424
high,287,-0.0094345139837392,0.9217616039495348,0.0,0.9208119366257946,0.943050424450348,4.892741802068341
high,287,-0.0094345139837392,0.9217616039495348,0.0,0.9208119366257946,0.9430508706103335,4.892693460891167
high,287,-0.0094345139837392,0.9217616039495348,0.0,0.9208119366257946,0.9430511846237792,4.892659426781871
high,287,-0.0094345139837392,0.9217616039495348,0.0,0.9208119366257946,0.9430514056306992,4.892635469280747
high,287,-0.0094345139837392,0.9217616039495348,0.0,0.9208119366257946,0.9430515611783652,4.892618603117383
high,287,-0.0094345139837392,0.9217616039495348,0.0,0.9208119366257946,0.9430516706549208,4.8926067339349
high,287,-0.0094345139837392,0.9217616039495348,0.0,0.9208119366257946,0.943051747706005,4.892598375320164
high,287,-0.0094345139837392,0.9217616039495348,0.0,0.9208119366257946,0.9430518019356025,4.892592497424584
high,287,-0.0094345139837392,0.9217616039495348,0.0,0.9208119366257946,0.943051840103128,4.892588363958044
high,287,-0.0094345139837392,0.9217616039495348,0.0,0.9208119366257946,0.94305186696595,4.892585445106819
high,287,-0.0094345139837392,0.9217616039495348,0.0,0.9208119366257946,0.9430518858723684,4.892583394100216
high,287,-0.0094345139837392,0.9217616039495348,0.0,0.9208119366257946,0.943051899178962,4.892581949793256
high,287,-0.0094345139837392,0.9217616039495348,0.0,0.9208119366257946,0.9430519085443227,4.892580911595824
high,287,-0.0094345139837392,0.9217616039495348,0.0,0.9208119366257946,0.9430519151357908,4.892580221687991
high,287,-0.0094345139837392,0.9217616039495348,0.0,0.9208119366257946,0.9430519197749552,4.892579718453484
high,287,-0.0094345139837392,0.9217616039495348,0.0,0.9208119366257946,0.943051923040062,4.892579366766761
high,287,-0.0094345139837392,0.9217616039495348,0.0,0.9208119366257946,0.9430519253380883,4.892579111469237
high,287,-0.0094345139837392,0.9217616039495348,0.0,0.9208119366257946,0.9430519269554706,4.892578941698312
high,287,-0.0094345139837392,0.9217616039495348,0.0,0.9208119366257946,0.943051928093806,4.89257904249297
high,287,-0.0094345139837392,0.9217616039495348,0.0,0.9208119366257946,0.943051928894982,4.892578450988044
high,287,-0.0094345139837392,0.9217616039495348,0.0,0.9208119366257946,0.9430519294588604,4.8925782474635024
high,287,-0.0094345139837392,0.9217616039495348,0.0,0.9208119366257946,0.9430519298557258,4.892578069197592
