est_A,est_B,err_A,err_B
112.9232,97.9593,12.9232,-2.0407
105.6376,95.0834,5.6376,-4.9166
111.1270,94.1935,11.1270,-5.8065
106.4050,106.9467,6.4050,6.9467
107.2947,102.5591,7.2947,2.5591
112.9771,106.5175,12.9771,6.5175
96.0416,99.9121,-3.9584,-0.0879
100.2212,105.1320,0.2212,5.1320
99.1069,95.8115,-0.8931,-4.1885
93.9983,122.2973,-6.0017,22.2973
103.9304,84.3207,3.9304,-15.6793
112.4966,112.6094,12.4966,12.6094
106.2907,113.6791,6.2907,13.6791
109.1867,91.4784,9.1867,-8.5216
114.5353,122.2927,14.5353,22.2927
115.9661,109.9549,15.9661,9.9549
107.5852,109.7114,7.5852,9.7114
116.1215,100.2802,16.1215,0.2802
108.5528,97.8277,8.5528,-2.1723
102.9756,97.9059,2.9756,-2.0941
104.4336,103.9053,4.4336,3.9053
99.1168,114.0119,-0.8832,14.0119
102.6712,101.8131,2.6712,1.8131
105.8519,90.8856,5.8519,-9.1144
112.8215,108.2443,12.8215,8.2443
118.3246,109.2115,18.3246,9.2115
99.7069,106.5466,-0.2931,6.5466
110.3570,107.4550,10.3570,7.4550
101.7567,97.2907,1.7567,-2.7093
110.8482,90.7101,10.8482,-9.2899
107.2135,91.3181,7.2135,-8.6819
97.0146,83.6454,-2.9854,-16.3546
113.5698,102.3695,13.5698,2.3695
104.3700,99.1655,4.3700,-0.8345
104.7966,95.6001,4.7966,-4.3999
101.5815,70.4438,1.5815,-29.5562
104.0743,87.5268,4.0743,-12.4732
110.5673,111.2084,10.5673,11.2084
106.8645,93.3537,6.8645,-6.6463
109.9720,103.6059,9.9720,3.6059
110.1715,86.0931,10.1715,-13.9069
115.9240,114.3871,15.9240,14.3871
105.9433,98.5597,5.9433,-1.4403
99.1389,102.9004,-0.8611,2.9004
114.4033,123.2578,14.4033,23.2578
106.0111,115.1644,6.0111,15.1644
114.6876,96.9343,14.6876,-3.0657
110.3003,94.0678,10.3003,-5.9322
107.2132,96.7445,7.2132,-3.2555
110.0927,105.0990,10.0927,5.0990
119.7061,98.9478,19.7061,-1.0522
120.4619,96.0476,20.4619,-3.9524
108.4163,114.6718,8.4163,14.6718
108.9611,98.8579,8.9611,-1.1421
114.4574,122.9959,14.4574,22.9959
102.9260,100.9074,2.9260,0.9074
109.9984,117.8532,9.9984,17.8532
107.8448,103.5732,7.8448,3.5732
109.8834,109.6296,9.8834,9.6296
102.9998,92.7539,2.9998,-7.2461
98.4626,91.4624,-1.5374,-8.5376
95.5621,104.5971,-4.4379,4.5971
101.2957,109.8855,1.2957,9.8855
105.2479,100.4026,5.2479,0.4026
106.2409,87.1361,6.2409,-12.8639
119.6234,86.3974,19.6234,-13.6026
114.6360,85.7286,14.6360,-14.2714
102.2275,82.3238,2.2275,-17.6762
110.0863,101.0949,10.0863,1.0949
105.5575,111.2504,5.5575,11.2504
106.2938,99.8658,6.2938,-0.1342
109.1120,77.3959,9.1120,-22.6041
111.7150,98.0924,11.7150,-1.9076
105.9644,98.3720,5.9644,-1.6280
114.3831,120.9600,14.3831,20.9600
101.1484,85.4286,1.1484,-14.5714
108.0380,96.0932,8.0380,-3.9068
123.5860,117.0585,23.5860,17.0585
109.3385,104.4998,9.3385,4.4998
116.5993,105.6331,16.5993,5.6331
108.5491,101.1458,8.5491,1.1458
111.4847,103.2994,11.4847,3.2994
107.6593,107.7761,7.6593,7.7761
106.9776,91.9051,6.9776,-8.0949
103.3231,108.7806,3.3231,8.7806
110.5818,86.2700,10.5818,-13.7300
102.8908,103.2837,2.8908,3.2837
111.9935,101.7874,11.9935,1.7874
114.5117,93.8371,14.5117,-6.1629
110.1992,99.7731,10.1992,-0.2269
106.2825,93.7746,6.2825,-6.2254
110.7238,89.2830,10.7238,-10.7170
106.1480,96.4639,6.1480,-3.5361
113.6133,88.9601,13.6133,-11.0399
97.0116,103.2280,-2.9884,3.2280
105.9864,88.4991,5.9864,-11.5009
96.0551,107.1198,-3.9449,7.1198
99.0296,88.1852,-0.9704,-11.8148
116.1832,94.3371,16.1832,-5.6629
113.3711,93.7540,13.3711,-6.2460
103.6831,113.2515,3.6831,13.2515
98.9850,103.3029,-1.0150,3.3029
90.2128,97.8827,-9.7872,-2.1173
104.7390,104.9872,4.7390,4.9872
122.5225,78.9281,22.5225,-21.0719
110.6093,99.5687,10.6093,-0.4313
104.6426,119.9751,4.6426,19.9751
110.7905,101.3235,10.7905,1.3235
98.6342,100.6791,-1.3658,0.6791
106.2161,105.4813,6.2161,5.4813
108.5969,108.9561,8.5969,8.9561
107.4834,80.0253,7.4834,-19.9747
112.7448,83.1767,12.7448,-16.8233
110.0679,102.1029,10.0679,2.1029
112.0100,92.8512,12.0100,-7.1488
103.8698,113.1203,3.8698,13.1203
113.3869,96.8483,13.3869,-3.1517
117.7736,80.6547,17.7736,-19.3453
102.1791,87.3199,2.1791,-12.6801
102.6738,72.5032,2.6738,-27.4968
116.0147,97.6587,16.0147,-2.3413
106.8519,98.1162,6.8519,-1.8838
116.4229,95.7554,16.4229,-4.2446
105.3448,110.7888,5.3448,10.7888
116.7303,111.9852,16.7303,11.9852
108.7889,98.2961,8.7889,-1.7039
109.5494,78.6531,9.5494,-21.3469
117.3883,106.1728,17.3883,6.1728
105.8294,105.5536,5.8294,5.5536
102.3533,103.0939,2.3533,3.0939
105.3086,109.8148,5.3086,9.8148
110.7140,88.3517,10.7140,-11.6483
98.6054,120.0876,-1.3946,20.0876
111.8248,90.4057,11.8248,-9.5943
104.7674,107.4922,4.7674,7.4922
114.8869,83.1265,14.8869,-16.8735
93.6344,90.6974,-6.3656,-9.3026
103.2806,115.1637,3.2806,15.1637
97.8812,97.3910,-2.1188,-2.6090
103.0426,108.3992,3.0426,8.3992
109.4860,102.3696,9.4860,2.3696
106.9246,98.9504,6.9246,-1.0496
106.4797,113.6385,6.4797,13.6385
107.0449,97.6334,7.0449,-2.3666
109.2203,82.1926,9.2203,-17.8074
101.9488,91.9676,1.9488,-8.0324
112.2411,105.5119,12.2411,5.5119
111.9760,103.9551,11.9760,3.9551
110.3102,84.3294,10.3102,-15.6706
111.3392,92.7566,11.3392,-7.2434
109.7785,94.1828,9.7785,-5.8172
120.2104,96.3453,20.2104,-3.6547
107.4774,86.2409,7.4774,-13.7591
106.1575,93.7163,6.1575,-6.2837
103.4788,92.7139,3.4788,-7.2861
101.8064,107.7153,1.8064,7.7153
100.5332,108.0912,0.5332,8.0912
102.6672,98.5419,2.6672,-1.4581
107.5759,96.0796,7.5759,-3.9204
110.0058,101.3992,10.0058,1.3992
108.3069,91.8342,8.3069,-8.1658
103.4068,88.5317,3.4068,-11.4683
113.4011,90.5978,13.4011,-9.4022
112.4365,93.6519,12.4365,-6.3481
107.0421,88.3653,7.0421,-11.6347
104.0825,101.6206,4.0825,1.6206
111.2906,107.2972,11.2906,7.2972
109.1278,84.1290,9.1278,-15.8710
99.3112,100.2513,-0.6888,0.2513
107.5921,97.8006,7.5921,-2.1994
109.5722,103.4151,9.5722,3.4151
102.6018,99.8706,2.6018,-0.1294
109.1391,85.4640,9.1391,-14.5360
99.2711,87.3761,-0.7289,-12.6239
116.0171,100.2942,16.0171,0.2942
115.4877,110.2878,15.4877,10.2878
106.4849,77.8581,6.4849,-22.1419
110.1807,103.4573,10.1807,3.4573
93.5405,111.8962,-6.4595,11.8962
101.0619,98.4697,1.0619,-1.5303
106.2373,105.5020,6.2373,5.5020
101.5672,92.9693,1.5672,-7.0307
112.2864,98.8063,12.2864,-1.1937
119.9838,83.7909,19.9838,-16.2091
100.9403,76.5566,0.9403,-23.4434
102.9752,109.4277,2.9752,9.4277
109.4127,90.1501,9.4127,-9.8499
117.6667,95.4447,17.6667,-4.5553
100.6658,86.1356,0.6658,-13.8644
109.4942,85.9003,9.4942,-14.0997
118.9278,98.2616,18.9278,-1.7384
98.0894,92.7042,-1.9106,-7.2958
100.3136,103.7797,0.3136,3.7797
105.4584,104.5254,5.4584,4.5254
104.8765,103.2085,4.8765,3.2085
112.8756,102.3860,12.8756,2.3860
109.4500,115.7777,9.4500,15.7777
97.3502,89.3241,-2.6498,-10.6759
111.0925,99.4507,11.0925,-0.5493
104.5348,111.3269,4.5348,11.3269
115.6467,112.6454,15.6467,12.6454
104.2345,85.7824,4.2345,-14.2176
104.1803,96.8764,4.1803,-3.1236
111.2468,113.5812,11.2468,13.5812
112.5776,105.0808,12.5776,5.0808
110.6886,101.9526,10.6886,1.9526
97.8864,97.8232,-2.1136,-2.1768
111.2282,96.1620,11.2282,-3.8380
101.7942,102.8822,1.7942,2.8822
109.4117,97.4763,9.4117,-2.5237
99.4576,99.5742,-0.5424,-0.4258
110.6779,100.7860,10.6779,0.7860
103.1604,93.2193,3.1604,-6.7807
100.3042,105.3213,0.3042,5.3213
112.2829,129.1424,12.2829,29.1424
109.4499,82.2301,9.4499,-17.7699
104.3161,103.2401,4.3161,3.2401
116.7071,92.3981,16.7071,-7.6019
105.3561,105.7740,5.3561,5.7740
108.1926,100.4656,8.1926,0.4656
109.6135,107.6185,9.6135,7.6185
104.2820,111.7551,4.2820,11.7551
110.8268,101.9242,10.8268,1.9242
104.7993,111.3205,4.7993,11.3205
105.5302,76.5570,5.5302,-23.4430
116.1759,115.9045,16.1759,15.9045
101.7565,103.7506,1.7565,3.7506
93.5233,110.7784,-6.4767,10.7784
117.6656,87.8012,17.6656,-12.1988
123.2960,91.6923,23.2960,-8.3077
105.5684,101.4594,5.5684,1.4594
96.3790,99.8296,-3.6210,-0.1704
106.1371,102.8307,6.1371,2.8307
106.2827,110.8452,6.2827,10.8452
106.8605,82.3478,6.8605,-17.6522
101.3197,109.7382,1.3197,9.7382
111.4774,100.0828,11.4774,0.0828
111.1470,97.9622,11.1470,-2.0378
99.0336,85.2888,-0.9664,-14.7112
112.1952,105.0305,12.1952,5.0305
120.3161,75.8589,20.3161,-24.1411
109.0318,106.4839,9.0318,6.4839
105.9760,85.0789,5.9760,-14.9211
107.1480,100.5346,7.1480,0.5346
111.6915,98.8083,11.6915,-1.1917
97.6160,111.6954,-2.3840,11.6954
108.9863,98.2134,8.9863,-1.7866
105.6572,93.0586,5.6572,-6.9414
119.0870,94.9340,19.0870,-5.0660
106.9550,112.7288,6.9550,12.7288
118.0073,105.3630,18.0073,5.3630
101.3776,96.1437,1.3776,-3.8563
111.5236,97.6355,11.5236,-2.3645
109.9164,84.3282,9.9164,-15.6718
102.7857,103.8847,2.7857,3.8847
109.0644,82.4018,9.0644,-17.5982
115.2751,107.5180,15.2751,7.5180
106.0572,101.2862,6.0572,1.2862
97.8482,123.8695,-2.1518,23.8695
107.8946,88.9986,7.8946,-11.0014
102.5855,98.9734,2.5855,-1.0266
105.9460,117.9829,5.9460,17.9829
107.5105,111.9139,7.5105,11.9139
97.7661,93.0379,-2.2339,-6.9621
98.3060,102.2397,-1.6940,2.2397
110.8924,100.0200,10.8924,0.0200
104.8637,102.8196,4.8637,2.8196
92.6115,93.0132,-7.3885,-6.9868
112.7091,99.1068,12.7091,-0.8932
109.6342,84.0195,9.6342,-15.9805
103.7168,101.3512,3.7168,1.3512
100.0990,104.5002,0.0990,4.5002
113.0148,97.7258,13.0148,-2.2742
110.0961,83.8495,10.0961,-16.1505
122.2956,109.8853,22.2956,9.8853
110.5211,103.6453,10.5211,3.6453
